r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,slope,regression_name
0.1070315725634908,0.10547858399403598,1.9033765275401755,68.91974266176726,7.353144814760996e-16,1,-1189.0999769137818,2384.1999538275636,2397.273480627088,2083.1342682147656,575,577,0.15171395268974025,lmMATCWM
0.04230595614265604,0.041966709226659904,5.108343226782156,124.70549958699335,2.2990129905152585e-28,1,-8614.72324406369,17235.44648812738,17253.285279058124,73666.66638533123,2823,2825,0.34240918245411595,lmMATSNC
0.11927272241995945,0.11774102280677667,1.8902854045605042,77.86952571733418,1.3187785653301763e-17,1,-1185.1177517829233,2376.2355035658466,2389.3090303653707,2054.57787364932,575,577,-0.0019616893381171046,lmMAPCWM
0.006314534231195107,0.005962537962768466,423.07605297679555,17.939207876882886,2.3536928312977778e-5,1,-21091.835281121163,42189.670562242325,42207.50935317307,505298217.4586438,2823,2825,-10.755797201850024,lmMAPSNC
0.10713420200946512,0.10558139192600324,1.903267146242062,68.9937572859023,7.110829614439434e-16,1,-1189.0668175143542,2384.1336350287083,2397.2071618282325,2082.894852229532,575,577,-2.4120241204683746,lmlog10MAPCWM
0.007097443464347008,0.0067457245282736,0.28087764267638304,20.179304371780162,7.334447826293618e-6,1,-420.21390723783725,846.4278144756745,864.2666054064161,222.71282218881254,2823,2825,-0.007573433161263565,lmlog10MAPSNC
0.09222703206381333,0.09064829646740247,1.9190897256900683,58.41828883410916,8.929539875540219e-14,1,-1193.8438076250527,2393.6876152501054,2406.7611420496296,2117.6705907682795,575,577,-7.888696539063991,lmprecpredCWM
0.009646901788646424,0.009296085955061262,0.07957852331339707,27.49847887438723,1.6883900388921953e-7,1,3142.6051580399658,-6279.2103160799315,-6261.37152514919,17.87732889524751,2823,2825,-0.002504798192463189,lmprecpredSNC
0.013999196909697718,0.01228441290432325,2.00007044202161,8.163825219865439,0.004428051308880722,1,-1217.6920418899863,2441.3840837799726,2454.4576105794968,2300.1620195028977,575,577,-2.3065728046264122,lmpreccontCWM
0.0016116196727351635,0.0012579574763741386,0.1082241692263219,4.556946400598171,0.032871369029672755,1,2274.029335609311,-4542.058671218622,-4524.219880287881,33.06430508174591,2823,2825,0.0013867039439298524,lmpreccontSNC
0.028027697677463485,0.026337311064728586,1.9857912923578511,16.580643425777005,5.316122461852956e-5,1,-1213.5578771086105,2433.115754217221,2446.189281016745,2267.436057662452,575,577,-4.985562299912502,lmprecconsCWM
0.021855733010929006,0.021509241949296376,0.08163155563334129,63.077335697906776,2.843473740569162e-15,1,3070.6477479640525,-6135.295495928105,-6117.456704997364,18.811655800461768,2823,2825,-0.003891502136393044,lmprecconsSNC
0.17211148649691305,0.17067168038647285,1.832705089336321,119.53796087467518,2.0766964242224782e-25,1,-1167.2683957959418,2340.5367915918837,2353.610318391408,1931.3145680755702,575,577,-25.416463324411694,lmtemppredCWM
0.01403121800142668,0.013681955237700771,0.035138154493178676,40.17381598810583,2.695586320349235e-10,1,5451.920296376522,-10897.840592753044,-10880.001801822302,3.4855295910494686,2823,2825,-0.0013368202662251243,lmtemppredSNC
0.0377759937356925,0.036102560681319784,1.9758080532318691,22.573949783639804,2.557385228800701e-6,1,-1210.6497883965924,2427.2995767931848,2440.373103592709,2244.6950413491472,575,577,5.7466414842347495,lmtempcontCWM
7.970431214413773e-4,4.4309237511530597e-4,0.07745483611272276,2.251847551430411,0.1335668113214168,1,3219.019267176203,-6432.038534352406,-6414.199743421665,16.9358873719532,2823,2825,-6.976547606054694e-4,lmtempcontSNC
0.08558033683256909,0.08399004176619085,1.9261026799198186,53.81412458725429,7.540087920221903e-13,1,-1195.9485028654328,2397.8970057308657,2410.97053253039,2133.176131816727,575,577,-6.412802840656883,lmtempconsCWM
3.642815562359536e-4,1.0177511445386145e-5,0.10498751378571204,1.028741584839587,0.3105413369722929,1,2359.80563037418,-4713.61126074836,-4695.772469817619,31.11617323770503,2823,2825,-6.391655056196326e-4,lmtempconsSNC
