aligned_name,source,taxonIDClean,taxonomicStatusClean,alternativeTaxonomicStatusClean,acceptedNameUsageID,canonicalName,scientificNameAuthorship,taxonRank,taxonomicStatus,family,subclass,taxonDistribution,ccAttributionIRI
Cathormion umbellatum,APC,https://id.biodiversity.org.au/taxon/apni/51299964,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51299964,Cathormion umbellatum,(Vahl) Kosterm.,Species,accepted,Fabaceae,Magnoliidae,"WA, NT, Qld",https://id.biodiversity.org.au/tree/51354547/51223008
Cathormion umbellatum subsp. moniliforme,APC,https://id.biodiversity.org.au/taxon/apni/51299963,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51299963,Cathormion umbellatum subsp. moniliforme,(DC.) Brummitt,Subspecies,accepted,Fabaceae,Magnoliidae,"WA, NT, Qld",https://id.biodiversity.org.au/tree/51354547/51316548
Caustis flexuosa,APC,https://id.biodiversity.org.au/node/apni/2890633,accepted,NA,https://id.biodiversity.org.au/node/apni/2890633,Caustis flexuosa,R.Br.,Species,accepted,Cyperaceae,Magnoliidae,"Qld, NSW, Vic",https://id.biodiversity.org.au/tree/51354547/51215272
Caustis pentandra,APC,https://id.biodiversity.org.au/node/apni/2893504,accepted,NA,https://id.biodiversity.org.au/node/apni/2893504,Caustis pentandra,R.Br.,Species,accepted,Cyperaceae,Magnoliidae,"WA, SA, Qld, NSW, Vic, Tas",https://id.biodiversity.org.au/tree/51354547/51215273
Caustis recurvata,APC,https://id.biodiversity.org.au/node/apni/2886715,accepted,NA,https://id.biodiversity.org.au/node/apni/2886715,Caustis recurvata,Spreng.,Species,accepted,Cyperaceae,Magnoliidae,"Qld, NSW",https://id.biodiversity.org.au/tree/51354547/51215274
Celmisia pugioniformis,APC,https://id.biodiversity.org.au/node/apni/2913922,accepted,NA,https://id.biodiversity.org.au/node/apni/2913922,Celmisia pugioniformis,M.Gray & Given,Species,accepted,Asteraceae,Magnoliidae,"NSW, ACT, Vic",https://id.biodiversity.org.au/tree/51354547/51245730
Celmisia tomentella,APC,https://id.biodiversity.org.au/node/apni/2916366,accepted,NA,https://id.biodiversity.org.au/node/apni/2916366,Celmisia tomentella,M.Gray & Given,Species,accepted,Asteraceae,Magnoliidae,"NSW, ACT, Vic",https://id.biodiversity.org.au/tree/51354547/51250120
Celtis philippensis,APC,https://id.biodiversity.org.au/taxon/apni/51269923,accepted,pro parte misapplied,https://id.biodiversity.org.au/taxon/apni/51269923,Celtis philippensis,Blanco,Species,accepted,Cannabaceae,Magnoliidae,"WA, NT, Qld",https://id.biodiversity.org.au/tree/51354547/51269922
Celtis strychnoides,APC,https://id.biodiversity.org.au/taxon/apni/51269929,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51269929,Celtis strychnoides,Planch.,Species,accepted,Cannabaceae,Magnoliidae,"WA, NT, Qld",https://id.biodiversity.org.au/tree/51354547/51306408
Cenchrus ciliaris,APC,https://id.biodiversity.org.au/node/apni/2891090,accepted,pro parte misapplied,https://id.biodiversity.org.au/node/apni/2891090,Cenchrus ciliaris,L.,Species,accepted,Poaceae,Magnoliidae,"WA (naturalised), CoI (naturalised), AR (naturalised), NT (naturalised), SA (naturalised), Qld (naturalised), NSW (naturalised)",https://id.biodiversity.org.au/tree/51354547/51214555
Cenchrus purpurascens,APC,https://id.biodiversity.org.au/taxon/apni/51291240,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51291240,Cenchrus purpurascens,Thunb.,Species,accepted,Poaceae,Magnoliidae,"Qld, NSW, ACT, Vic (naturalised)",https://id.biodiversity.org.au/tree/51354547/51291239
Cenchrus setiger,APC,https://id.biodiversity.org.au/node/apni/2893906,accepted,NA,https://id.biodiversity.org.au/node/apni/2893906,Cenchrus setiger,Vahl,Species,accepted,Poaceae,Magnoliidae,"WA (naturalised), NT (naturalised), SA (naturalised), Qld (naturalised), NSW (naturalised)",https://id.biodiversity.org.au/tree/51354547/51214575
