original_name,cleaned_name,aligned_name,source,known,checked,stripped_name,mismatch_reason,could_match,APC_link
Panicum sp.,Panicum sp.,NA,NA,FALSE,TRUE,panicum sp,Genus sp. ID,Panicum,
Paspalidium sp.,Paspalidium sp.,NA,NA,FALSE,TRUE,paspalidium sp,Genus sp. ID,Paspalidium,
Paspalum sp.,Paspalum sp.,NA,NA,FALSE,TRUE,paspalum sp,Genus sp. ID,Paspalum,
Peplidium sp.,Peplidium sp.,NA,NA,FALSE,TRUE,peplidium sp,Genus sp. ID,Peplidium,
Phellinus sp.,Phellinus sp.,NA,NA,FALSE,TRUE,phellinus sp,Fungus,NA,
Philydrella sp.,Philydrella sp.,NA,NA,FALSE,TRUE,philydrella sp,Genus sp. ID,Philydrella,
Phyllanthus sp.,Phyllanthus sp.,NA,NA,FALSE,TRUE,phyllanthus sp,Genus sp. ID,Phyllanthus,
Pimelea sp.,Pimelea sp.,NA,NA,FALSE,TRUE,pimelea sp,Genus sp. ID,Pimelea,
Plantago sp.,Plantago sp.,NA,NA,FALSE,TRUE,plantago sp,Genus sp. ID,Plantago,
Pluchea sp.,Pluchea sp.,NA,NA,FALSE,TRUE,pluchea sp,Genus sp. ID,Pluchea,
Poa sp.,Poa sp.,NA,NA,FALSE,TRUE,poa sp,Genus sp. ID,Poa,
Poaceae sp.,Poaceae sp.,NA,NA,FALSE,TRUE,poaceae sp,Genus sp. ID,Poaceae,
Podolepis sp.,Podolepis sp.,NA,NA,FALSE,TRUE,podolepis sp,Genus sp. ID,Podolepis,
Pogonolepis sp.,Pogonolepis sp.,NA,NA,FALSE,TRUE,pogonolepis sp,Genus sp. ID,Pogonolepis,
Polymeria sp.,Polymeria sp.,NA,NA,FALSE,TRUE,polymeria sp,Genus sp. ID,Polymeria,
Poranthera sp.,Poranthera sp.,NA,NA,FALSE,TRUE,poranthera sp,Genus sp. ID,Poranthera,
Portulaca sp.,Portulaca sp.,NA,NA,FALSE,TRUE,portulaca sp,Genus sp. ID,Portulaca,
Pseudopogonatherum sp.,Pseudopogonatherum sp.,NA,NA,FALSE,TRUE,pseudopogonatherum sp,Genus sp. ID,Pseudopogonatherum,
Pterocaulon sp.,Pterocaulon sp.,NA,NA,FALSE,TRUE,pterocaulon sp,Genus sp. ID,Pterocaulon,
Pterostylis sp.,Pterostylis sp.,NA,NA,FALSE,TRUE,pterostylis sp,Genus sp. ID,Pterostylis,
Ptilotus sp.,Ptilotus sp.,NA,NA,FALSE,TRUE,ptilotus sp,Genus sp. ID,Ptilotus,
Pultenaea sp.,Pultenaea sp.,NA,NA,FALSE,TRUE,pultenaea sp,Genus sp. ID,Pultenaea,
Ranuculus sp.,Ranuculus sp.,NA,NA,FALSE,TRUE,ranuculus sp,Genus sp. ID,Ranunculus,
Rhagodia sp.,Rhagodia sp.,NA,NA,FALSE,TRUE,rhagodia sp,Genus sp. ID,Rhagodia,
Rhodanthe sp.,Rhodanthe sp.,NA,NA,FALSE,TRUE,rhodanthe sp,Genus sp. ID,Rhodanthe,
Rhynchospora sp.,Rhynchospora sp.,NA,NA,FALSE,TRUE,rhynchospora sp,Genus sp. ID,Rhynchospora,
Roepera sp.,Roepera sp.,NA,NA,FALSE,TRUE,roepera sp,Genus sp. ID,Roepera,
Romulea sp.,Romulea sp.,NA,NA,FALSE,TRUE,romulea sp,Genus sp. ID,Romulea,
Rubus sp.,Rubus sp.,NA,NA,FALSE,TRUE,rubus sp,Genus sp. ID,Rubus,
Rytidosperma sp.,Rytidosperma sp.,NA,NA,FALSE,TRUE,rytidosperma sp,Genus sp. ID,Rytidosperma,
Sacciolepis sp.,Sacciolepis sp.,NA,NA,FALSE,TRUE,sacciolepis sp,Genus sp. ID,Sacciolepis,
Salsola sp.,Salsola sp.,NA,NA,FALSE,TRUE,salsola sp,Genus sp. ID,Salsola,
Sarga sp.,Sarga sp.,NA,NA,FALSE,TRUE,sarga sp,Genus sp. ID,Sarga,
Scaevola sp.,Scaevola sp.,NA,NA,FALSE,TRUE,scaevola sp,Genus sp. ID,Scaevola,
Schizachyrium sp.,Schizachyrium sp.,NA,NA,FALSE,TRUE,schizachyrium sp,Genus sp. ID,Schizachyrium,
Schoenus sp.,Schoenus sp.,NA,NA,FALSE,TRUE,schoenus sp,Genus sp. ID,Schoenus,
Scleria sp.,Scleria sp.,NA,NA,FALSE,TRUE,scleria sp,Genus sp. ID,Scleria,
Sclerolaena sp.,Sclerolaena sp.,NA,NA,FALSE,TRUE,sclerolaena sp,Genus sp. ID,Sclerolaena,
Senecio sp.,Senecio sp.,NA,NA,FALSE,TRUE,senecio sp,Genus sp. ID,Senecio,
Senna sp.,Senna sp.,NA,NA,FALSE,TRUE,senna sp,Genus sp. ID,Senna,
Seringia sp.,Seringia sp.,NA,NA,FALSE,TRUE,seringia sp,Genus sp. ID,Seringia,
Sesbania sp.,Sesbania sp.,NA,NA,FALSE,TRUE,sesbania sp,Genus sp. ID,Sesbania,
Setaria sp.,Setaria sp.,NA,NA,FALSE,TRUE,setaria sp,Genus sp. ID,Setaria,
Sida sp.,Sida sp.,NA,NA,FALSE,TRUE,sida sp,Genus sp. ID,Sida,
Sisymbrium sp.,Sisymbrium sp.,NA,NA,FALSE,TRUE,sisymbrium sp,Genus sp. ID,Sisymbrium,
Solanum sp.,Solanum sp.,NA,NA,FALSE,TRUE,solanum sp,Genus sp. ID,Solanum,
Sonchus sp.,Sonchus sp.,NA,NA,FALSE,TRUE,sonchus sp,Genus sp. ID,Sonchus,
Sorghum sp.,Sorghum sp.,NA,NA,FALSE,TRUE,sorghum sp,Genus sp. ID,Sorghum,
Spermacoce sp.,Spermacoce sp.,NA,NA,FALSE,TRUE,spermacoce sp,Genus sp. ID,Spermacoce,
Sporobolus sp.,Sporobolus sp.,NA,NA,FALSE,TRUE,sporobolus sp,Genus sp. ID,Sporobolus,
Stellaria sp.,Stellaria sp.,NA,NA,FALSE,TRUE,stellaria sp,Genus sp. ID,Stellaria,
Stylidium sp.,Stylidium sp.,NA,NA,FALSE,TRUE,stylidium sp,Genus sp. ID,Stylidium,
Stylosanthes sp.,Stylosanthes sp.,NA,NA,FALSE,TRUE,stylosanthes sp,Genus sp. ID,Stylosanthes,
Swainsona sp.,Swainsona sp.,NA,NA,FALSE,TRUE,swainsona sp,Genus sp. ID,Swainsona,
Taraxacum sp,Taraxacum sp.,NA,NA,FALSE,TRUE,taraxacum sp,Genus sp. ID,Taraxacum,
Tecticornia sp.,Tecticornia sp.,NA,NA,FALSE,TRUE,tecticornia sp,Genus sp. ID,Tecticornia,
Tephrosia sp.,Tephrosia sp.,NA,NA,FALSE,TRUE,tephrosia sp,Genus sp. ID,Tephrosia,
Terminalia sp.,Terminalia sp.,NA,NA,FALSE,TRUE,terminalia sp,Genus sp. ID,Terminalia,
Tetragonia sp.,Tetragonia sp.,NA,NA,FALSE,TRUE,tetragonia sp,Genus sp. ID,Tetragonia,
Thaumastochloa sp.,Thaumastochloa sp.,NA,NA,FALSE,TRUE,thaumastochloa sp,Genus sp. ID,Thaumastochloa,
Thelymitra sp.,Thelymitra sp.,NA,NA,FALSE,TRUE,thelymitra sp,Genus sp. ID,Thelymitra,
Themeda sp.,Themeda sp.,NA,NA,FALSE,TRUE,themeda sp,Genus sp. ID,Themeda,
Thysanotus sp.,Thysanotus sp.,NA,NA,FALSE,TRUE,thysanotus sp,Genus sp. ID,Thysanotus,
Trachymene sp.,Trachymene sp.,NA,NA,FALSE,TRUE,trachymene sp,Genus sp. ID,Trachymene,
Trianthema sp.,Trianthema sp.,NA,NA,FALSE,TRUE,trianthema sp,Genus sp. ID,Trianthema,
Tribulus sp.,Tribulus sp.,NA,NA,FALSE,TRUE,tribulus sp,Genus sp. ID,Tribulus,
Tricostularia sp.,Tricostularia sp.,NA,NA,FALSE,TRUE,tricostularia sp,Genus sp. ID,Tricostularia,
Trifolium sp.,Trifolium sp.,NA,NA,FALSE,TRUE,trifolium sp,Genus sp. ID,Trifolium,
Triodia sp.,Triodia sp.,NA,NA,FALSE,TRUE,triodia sp,Genus sp. ID,Triodia,
Triumfetta sp.,Triumfetta sp.,NA,NA,FALSE,TRUE,triumfetta sp,Genus sp. ID,Triumfetta,
Urochloa sp.,Urochloa sp.,NA,NA,FALSE,TRUE,urochloa sp,Genus sp. ID,Urochloa,
Usnea sp.,Usnea sp.,NA,NA,FALSE,TRUE,usnea sp,Lichen,NA,
Verbena sp.,Verbena sp.,NA,NA,FALSE,TRUE,verbena sp,Genus sp. ID,Verbena,
Verticordia sp.,Verticordia sp.,NA,NA,FALSE,TRUE,verticordia sp,Genus sp. ID,Verticordia,
Vicia sp.,Vicia sp.,NA,NA,FALSE,TRUE,vicia sp,Genus sp. ID,Vicia,
Vigna sp.,Vigna sp.,NA,NA,FALSE,TRUE,vigna sp,Genus sp. ID,Vigna,
Viola sp.,Viola sp.,NA,NA,FALSE,TRUE,viola sp,Genus sp. ID,Viola,
Vittadina sp.,Vittadina sp.,NA,NA,FALSE,TRUE,vittadina sp,Genus sp. ID,Vittadinia,
Vittadinia sp.,Vittadinia sp.,NA,NA,FALSE,TRUE,vittadinia sp,Genus sp. ID,Vittadinia,
Vulpia sp.,Vulpia sp.,NA,NA,FALSE,TRUE,vulpia sp,Genus sp. ID,Vulpia,
Wahlenbergeria sp.,Wahlenbergeria sp.,NA,NA,FALSE,TRUE,wahlenbergeria sp,Genus sp. ID,Wahlenbergia,
Wahlenbergia sp.,Wahlenbergia sp.,NA,NA,FALSE,TRUE,wahlenbergia sp,Genus sp. ID,Wahlenbergia,
Watsonia sp.,Watsonia sp.,NA,NA,FALSE,TRUE,watsonia sp,Genus sp. ID,Watsonia,
Wurmbea sp.,Wurmbea sp.,NA,NA,FALSE,TRUE,wurmbea sp,Genus sp. ID,Wurmbea,
Wurmbea sp,Wurmbea sp.,NA,NA,FALSE,TRUE,wurmbea sp,Genus sp. ID,Wurmbea,
Xanthorrhoea sp.,Xanthorrhoea sp.,NA,NA,FALSE,TRUE,xanthorrhoea sp,Genus sp. ID,Xanthorrhoea,
Xanthosia sp.,Xanthosia sp.,NA,NA,FALSE,TRUE,xanthosia sp,Genus sp. ID,Xanthosia,
Senna artemisioides subsp. x coriacea intergrade senna artemisioides subsp. filifolia,Senna artemisioides subsp. x coriacea intergrade senna artemisioides subsp. filifolia,NA,NA,FALSE,TRUE,senna artemisioides x coriacea intergrade senna artemisioides filifolia,Hybrid,Senna artemisioides,
Senna artemisioides subsp. filifolia intergrade senna artemisioides subsp. x coriacea,Senna artemisioides subsp. filifolia intergrade senna artemisioides subsp. x coriacea,NA,NA,FALSE,TRUE,senna artemisioides filifolia intergrade senna artemisioides x coriacea,Hybrid,Senna artemisioides,
Pending,Pending,NA,NA,FALSE,TRUE,pending,Invalid name,NA,
Scaevola spinescens (large-leaf morphotype),Scaevola spinescens (large-leaf morphotype),NA,NA,FALSE,TRUE,scaevola spinescens large leaf morphotype,Invalid variant,Scaevola spinescens,
Rhagodia latifolia subsp. latifolia (type 1),Rhagodia latifolia subsp. latifolia (type 1),NA,NA,FALSE,TRUE,rhagodia latifolia latifolia type 1,Invalid variant,Rhagodia latifolia subsp. latifolia,
Rhagodia latifolia subsp. latifolia (type 2),Rhagodia latifolia subsp. latifolia (type 2),NA,NA,FALSE,TRUE,rhagodia latifolia latifolia type 2,Invalid variant,Rhagodia latifolia subsp. latifolia,
Calandrinia so.,Calandrinia so.,NA,NA,FALSE,TRUE,calandrinia so,"Misspelled, Genus sp. ID",Calandrinia,
Goodenia sp. mid west,Goodenia sp. mid west,NA,NA,FALSE,TRUE,goodenia sp mid west,Not in APC/APNI,NA,
Wurmbea sp. paynes find (c.j. french 1327),Wurmbea sp. paynes find (c.j. french 1327),NA,NA,FALSE,TRUE,wurmbea sp paynes find c j french 1327,Not in APC/APNI,NA,
Lagenophora sp.,Lagenophora sp.,NA,NA,FALSE,TRUE,lagenophora sp,Genus sp. ID,Lagenophora,
Parietaria sp.,Parietaria sp.,NA,NA,FALSE,TRUE,parietaria sp,Genus sp. ID,Parietaria,
