canonicalName,RS_value
Hibbertia caudice,woody
Hibbertia circumdans,woody
Hibbertia cistifolia,woody
Hibbertia conspicua,woody
Hibbertia crinita,woody
Hibbertia dealbata,woody
Hibbertia dilatata,semi_woody
Hibbertia eatoniae,woody
Hibbertia exutiacies,woody
Hibbertia fasciculata,woody
Hibbertia glabriuscula,woody
Hibbertia glomerosa,woody
Hibbertia grossulariifolia,woody
Hibbertia hemignosta,woody
Hibbertia huegelii,woody
Hibbertia hypericoides,woody
Hibbertia inconspicua,woody
Hibbertia juncea,herbaceous
Hibbertia lepidota,woody
Hibbertia montana,woody
Hibbertia obtusifolia,woody
Hibbertia paeninsularis,woody
Hibbertia pallidiflora,woody
Hibbertia pulchra,woody
Hibbertia riparia,woody
Hibbertia rostellata,woody
Hibbertia sericea,woody
Hibbertia stenophylla,woody
Hibbertia subvaginata,woody
Hibbertia tasmanica,semi_woody
Hibbertia vaginata,woody
Hibbertia virgata,woody
Drosera andersoniana,herbaceous
Drosera arcturi,herbaceous
Drosera auriculata,herbaceous
Drosera bulbosa,herbaceous
Drosera burmanni,herbaceous
Drosera derbyensis,herbaceous
Drosera erythrorhiza,herbaceous
Drosera glanduligera,herbaceous
Drosera huegelii,herbaceous
Drosera indica,herbaceous
Drosera lanata,herbaceous
Drosera macrantha,herbaceous
Drosera moorei,herbaceous
Drosera pallida,herbaceous
Drosera peltata,herbaceous
Drosera petiolaris,herbaceous
Drosera prostrata,herbaceous
Drosera pygmaea,herbaceous
Drosera stolonifera,herbaceous
Drosera whittakeri,herbaceous
Diospyros humilis,woody
Ecdeiocolea monostachya,herbaceous
Elaeocarpus reticulatus,woody
Tetratheca efoliata,woody
Tetratheca ericifolia,woody
Tetratheca halmaturina,woody
Tetratheca pilosa,woody
Tetratheca rubioides,woody
Tetratheca rupicola,woody
Tremandra diffusa,woody
Bergia henshallii,herbaceous
Bergia trimera,herbaceous
Acrothamnus hookeri,woody
Acrotriche affinis,woody
Acrotriche cordata,woody
Acrotriche depressa,woody
Acrotriche fasciculiflora,woody
Acrotriche patula,woody
Acrotriche rigida,woody
Acrotriche serrulata,woody
Astroloma ciliatum,woody
Astroloma humifusum,woody
Astroloma serratifolium,woody
Brachyloma ericoides,woody
Brachyloma preissii,woody
Conostephium minus,woody
Conostephium pendulum,woody
Epacris celata,woody
Epacris glacialis,woody
Epacris gunnii,woody
Epacris impressa,woody
Epacris microphylla,woody
Epacris paludosa,woody
Epacris pulchella,woody
Leucopogon affinis,woody
Leucopogon australis,woody
Leucopogon concurvus,woody
Leucopogon cordatus,woody
Leucopogon costatus,woody
Leucopogon cucullatus,woody
Leucopogon decrescens,woody
Leucopogon hamulosus,woody
Leucopogon interstans,woody
Leucopogon microphyllus,woody
Leucopogon obovatus,woody
Leucopogon parviflorus,woody
Leucopogon rufus,woody
Leucopogon sp. Coolgardie (M.Hislop & F.Hort MH3197),woody
Leucopogon sp. outer wheatbelt (M.Hislop 30),woody
Leucopogon yorkensis,woody
Lissanthe strigosa,woody
Melichrus urceolatus,woody
Monotoca elliptica,woody
Monotoca scoparia,woody
Pentachondra pumila,woody
Richea continentis,woody
Stenanthera conostephioides,woody
Styphelia exarrhena,woody
Styphelia laeta,woody
Styphelia triflora,woody
Woollsia pungens,woody
Eriocaulon depressum,herbaceous
Eriocaulon fistulosum,herbaceous
Erythroxylum australe,woody
Erythroxylum ellipticum,woody
Adriana tomentosa,woody
Amperea xiphoclada,woody
Beyeria cinerea,woody
Beyeria gardneri,woody
Beyeria lechenaultii,woody
Beyeria opaca,woody
Beyeria sulcata,woody
Bridelia tomentosa,woody
Calycopeplus paucifolius,woody
Croton arnhemicus,woody
Croton multicaulis,woody
Croton phebalioides,woody
Euphorbia australis,herbaceous
Euphorbia biconvexa,herbaceous
Euphorbia bifida,herbaceous
Euphorbia boophthona,herbaceous
Euphorbia centralis,herbaceous
Euphorbia dallachyana,herbaceous
Euphorbia drummondii,herbaceous
Euphorbia ferdinandi,herbaceous
Euphorbia laciniloba,semi_woody
Euphorbia mitchelliana,herbaceous
Euphorbia multifaria,herbaceous
Euphorbia parvicaruncula,herbaceous
Euphorbia porcata,semi_woody
Euphorbia schultzii,herbaceous
Euphorbia stevenii,herbaceous
Euphorbia tannensis,woody
Euphorbia terracina,herbaceous
Euphorbia trigonosperma,semi_woody
Excoecaria parvifolia,woody
Microstachys chamaelea,semi_woody
Ricinocarpos muricatus,woody
Acacia acuaria,woody
Acacia acuminata,woody
Acacia adoxa,woody
Acacia alleniana,woody
Acacia anceps,woody
Acacia ancistrocarpa,woody
Acacia aneura,woody
Acacia aptaneura,woody
Acacia araneosa,woody
Acacia asperulacea,woody
Acacia assimilis,woody
Acacia atkinsiana,woody
Acacia ayersiana,woody
Acacia beauverdiana,woody
Acacia bivenosa,woody
Acacia brachystachya,woody
Acacia browniana,woody
Acacia brownii,woody
Acacia burkittii,woody
Acacia buxifolia,woody
Acacia caesaneura,woody
Acacia calamifolia,woody
Acacia calligera,woody
Acacia cambagei,woody
Acacia carneorum,woody
Acacia chamaeleon,woody
Acacia cheelii,woody
Acacia chrysocephala,woody
Acacia citrinoviridis,woody
Acacia cochlearis,woody
Acacia colei,woody
Acacia colletioides,woody
Acacia consanguinea,woody
Acacia continua,woody
Acacia coolgardiensis,woody
Acacia cowleana,woody
Acacia crassicarpa,woody
Acacia cupularis,woody
Acacia cuthbertsonii,woody
Acacia cyclops,woody
Acacia cylindrica,woody
Acacia dawsonii,woody
Acacia dealbata,woody
Acacia deanei,woody
Acacia dentifera,woody
Acacia desertorum,woody
Acacia dictyophleba,woody
Acacia didyma,woody
Acacia difficilis,woody
Acacia dimidiata,woody
Acacia duriuscula,woody
Acacia effusifolia,woody
Acacia enervia,woody
Acacia eriopoda,woody
Acacia estrophiolata,woody
Acacia euthycarpa,woody
Acacia excelsa,woody
Acacia fragilis,woody
Acacia fuscaneura,woody
Acacia galioides,woody
Acacia georginae,woody
Acacia gibbosa,woody
Acacia gonocarpa,woody
Acacia gonoclada,woody
Acacia hakeoides,woody
Acacia hammondii,woody
Acacia harpophylla,woody
Acacia havilandiorum,woody
Acacia hemignosta,woody
Acacia hemiteles,woody
Acacia hemsleyi,woody
Acacia heteroneura,woody
Acacia hilliana,woody
Acacia holosericea,woody
Acacia hopperiana,woody
Acacia humifusa,woody
Acacia implexa,woody
Acacia inaequiloba,woody
Acacia incurvaneura,woody
Acacia ixiophylla,woody
Acacia jennerae,woody
Acacia julifera,woody
Acacia kempeana,woody
Acacia lamprocarpa,woody
Acacia lasiocalyx,woody
Acacia lasiocarpa,woody
Acacia legnota,woody
Acacia leiocalyx,woody
Acacia leptocarpa,woody
Acacia leptoloba,woody
Acacia leptostachya,woody
Acacia ligulata,woody
Acacia limbata,woody
Acacia lineata,woody
Acacia lineolata,woody
Acacia linifolia,woody
Acacia loderi,woody
Acacia longifolia,woody
Acacia longispinea,woody
Acacia lycopodiifolia,woody
Acacia lysiphloia,woody
Acacia macraneura,woody
Acacia maitlandii,woody
Acacia mariae,woody
Acacia marramamba,woody
Acacia mearnsii,woody
Acacia melanoxylon,woody
Acacia melleodora,woody
Acacia melvillei,woody
Acacia merrallii,woody
Acacia mimula,woody
Acacia mollifolia,woody
Acacia monticola,woody
Acacia mulganeura,woody
Acacia murrayana,woody
Acacia myrtifolia,woody
Acacia neurophylla,woody
Acacia nyssophylla,woody
Acacia obtusifolia,woody
Acacia oldfieldii,woody
Acacia oncinocarpa,woody
Acacia oswaldii,woody
Acacia pachyacra,woody
Acacia papyrocarpa,woody
Acacia paradoxa,woody
Acacia paraneura,woody
Acacia penninervis,woody
Acacia phlebocarpa,woody
Acacia platycarpa,woody
Acacia plautella,woody
Acacia plectocarpa,woody
Acacia polystachya,woody
Acacia prainii,woody
Acacia pravifolia,woody
Acacia pruinocarpa,woody
Acacia pteraneura,woody
Acacia pulchella,woody
Acacia pycnantha,woody
Acacia pyrifolia,woody
Acacia ramulosa,woody
Acacia resinimarginea,woody
Acacia rhodophloia,woody
Acacia rivalis,woody
Acacia rothii,woody
Acacia salicina,woody
Acacia saligna,woody
Acacia sclerosperma,woody
Acacia sericophylla,woody
Acacia sessilis,woody
Acacia shirleyi,woody
Acacia sibina,woody
Acacia sibirica,woody
Acacia simsii,woody
Acacia solenota,woody
Acacia sp. Urandangie (L.Pedley 2025),woody
Acacia stellaticeps,woody
Acacia stenophylla,woody
Acacia stenoptera,woody
Acacia stereophylla,woody
Acacia stipuligera,woody
Acacia suaveolens,woody
Acacia subcontorta,woody
Acacia subternata,woody
Acacia synchronicia,woody
Acacia tarculensis,woody
Acacia tenuissima,woody
Acacia tephrina,woody
Acacia terminalis,woody
Acacia tetragonophylla,woody
Acacia thomsonii,woody
Acacia torringtonensis,woody
Acacia torulosa,woody
Acacia trachycarpa,woody
Acacia translucens,woody
Acacia triquetra,woody
Acacia tumida,woody
Acacia ulicifolia,woody
Acacia umbraculiformis,woody
Acacia uncifolia,woody
Acacia uncinella,woody
Acacia victoriae,woody
Acacia wanyu,woody
Acacia wattsiana,woody
Acacia xiphophylla,woody
Acacia yorkrakinensis,woody
Aeschynomene indica,herbaceous
Albizia lebbeck,woody
Aotus subglauca,woody
Aphyllodium biarticulatum,semi_woody
Austrosteenisia blackii,woody
Bauhinia carronii,woody
Bauhinia cunninghamii,woody
Bauhinia gilva,woody
Bossiaea bossiaeoides,woody
Bossiaea ensata,woody
Bossiaea eriocarpa,woody
Bossiaea heterophylla,woody
Bossiaea linophylla,woody
Bossiaea obcordata,woody
Bossiaea ornata,woody
Bossiaea praetermissa,woody
Bossiaea prostrata,semi_woody
Bossiaea rhombifolia,woody
Bossiaea scolopendria,woody
Bossiaea sericea,woody
Bossiaea walkeri,woody
Cajanus marmoratus,herbaceous
Cathormion umbellatum,woody
Chamaecrista absus,herbaceous
Chorizema racemosum,woody
Crotalaria brevis,woody
Crotalaria cunninghamii,woody
Crotalaria dissitiflora,herbaceous
Crotalaria eremaea,herbaceous
Crotalaria goreensis,herbaceous
Crotalaria juncea,herbaceous
Crotalaria medicaginea,semi_woody
Crotalaria montana,semi_woody
Crotalaria novae-hollandiae,woody
Crotalaria smithiana,herbaceous
Cullen australasicum,woody
Cullen badocanum,woody
Cullen cinereum,semi_woody
Cullen discolor,herbaceous
Cullen graveolens,herbaceous
Cullen patens,herbaceous
Daviesia alata,woody
Daviesia argillacea,woody
Daviesia asperula,woody
Daviesia benthamii,woody
Daviesia brevifolia,woody
Daviesia hakeoides,woody
Daviesia incrassata,woody
Daviesia latifolia,woody
Daviesia leptophylla,woody
Daviesia sarissa,woody
Daviesia ulicifolia,woody
Dendrolobium arbuscula,woody
Desmodium brachypodum,herbaceous
Desmodium campylocaulon,herbaceous
Desmodium filiforme,herbaceous
Desmodium muelleri,herbaceous
Desmodium pullenii,herbaceous
Desmodium trichostachyum,herbaceous
Dillwynia hispida,woody
Dillwynia retorta,woody
Dillwynia sericea,woody
Erythrina vespertilio,woody
Erythrophleum chlorostachys,woody
Eutaxia microphylla,woody
Eutaxia neurocalyx,woody
Flemingia parviflora,woody
Flemingia pauciflora,semi_woody
Flemingia trifoliata,semi_woody
Galactia megalophylla,semi_woody
Galactia tenuiflora,herbaceous
Gastrolobium parviflorum,woody
Genista monspessulana,woody
Glycine canescens,herbaceous
Glycine latrobeana,herbaceous
Glycine rubiginosa,herbaceous
Glycine tabacina,semi_woody
Glycine tomentella,herbaceous
Gompholobium ecostatum,woody
Gompholobium grandiflorum,woody
Gompholobium huegelii,woody
Gompholobium latifolium,woody
Gompholobium nitidum,woody
Gompholobium oreophilum,woody
Hovea chorizemifolia,woody
Hovea heterophylla,woody
Hovea montana,woody
Hovea parvicalyx,woody
Hovea trisperma,woody
Indigastrum parviflorum,herbaceous
Indigofera australis,woody
Indigofera colutea,herbaceous
Indigofera cornuligera,woody
Indigofera ewartiana,woody
Indigofera hirsuta,herbaceous
Indigofera linifolia,semi_woody
Indigofera linnaei,herbaceous
Indigofera monophylla,woody
Indigofera polygaloides,herbaceous
Indigofera psammophila,herbaceous
Indigofera sp. Bungaroo Creek (S.van Leeuwen 4301),woody
Indigofera trita,woody
Isotropis cuneifolia,semi_woody
Jacksonia aculeata,woody
Jacksonia cupulifera,woody
Jacksonia dilatata,woody
Jacksonia forrestii,woody
Jacksonia furcellata,woody
Jacksonia nematoclada,woody
Jacksonia odontoclada,woody
Jacksonia sternbergiana,woody
Jacksonia thesioides,woody
Kennedia coccinea,woody
Kennedia prorepens,semi_woody
Kennedia prostrata,semi_woody
Labichea teretifolia,woody
Leptosema aculeatum,woody
Leptosema chambersii,woody
Lespedeza juncea,woody
Lotus australis,herbaceous
Lotus cruentus,herbaceous
Medicago laciniata,herbaceous
Medicago minima,herbaceous
Medicago polymorpha,herbaceous
Medicago truncatula,herbaceous
Melilotus indicus,herbaceous
Mirbelia microphylla,woody
Mirbelia platylobioides,woody
Mirbelia sp. Bursarioides (T..Lally 760),woody
Muelleranthus obovatus,herbaceous
Muelleranthus stipularis,herbaceous
Muelleranthus trifoliolatus,herbaceous
Neptunia dimorphantha,semi_woody
Neptunia gracilis,semi_woody
Neptunia monosperma,semi_woody
Ornithopus compressus,herbaceous
Oxylobium ellipticum,woody
Parkinsonia aculeata,woody
Petalostylis cassioides,woody
Petalostylis labicheoides,woody
Phyllota grandiflora,woody
Phyllota phylicoides,woody
Phyllota pleurandroides,woody
Phyllota squarrosa,woody
Platylobium obtusangulum,woody
Podolobium ilicifolium,woody
Pultenaea acerosa,woody
Pultenaea daphnoides,woody
Pultenaea graveolens,woody
Pultenaea involucrata,woody
Pultenaea kraehenbuehlii,woody
Pultenaea largiflorens,woody
Pultenaea laxiflora,woody
Pultenaea linophylla,woody
Pultenaea pedunculata,woody
Pultenaea prostrata,woody
Pultenaea reticulata,woody
Pultenaea scabra,woody
Pultenaea tenella,woody
Pultenaea tenuifolia,woody
Pultenaea trinervis,woody
Pultenaea tuberculata,woody
Pultenaea viscidula,woody
Pycnospora lutescens,semi_woody
Rhynchosia australis,herbaceous
Rhynchosia minima,herbaceous
Senna artemisioides,woody
Senna cardiosperma,woody
Senna charlesiana,woody
Senna coronilloides,woody
Senna costata,woody
Senna glutinosa,woody
Senna hamersleyensis,woody
Senna notabilis,woody
Senna phyllodinea,woody
Senna pleurocarpa,woody
Senna sp. Austin (A.Strid 20210),woody
Senna sp. Meekatharra (E.Bailey 1-26),woody
Senna stowardii,woody
Sesbania cannabina,semi_woody
Sphaerolobium minus,woody
Stylosanthes hamata,semi_woody
Stylosanthes humilis,semi_woody
Stylosanthes scabra,woody
Stylosanthes viscosa,semi_woody
Swainsona affinis,herbaceous
Swainsona campylantha,herbaceous
Swainsona flavicarinata,herbaceous
Swainsona formosa,herbaceous
Swainsona galegifolia,semi_woody
Swainsona kingii,herbaceous
Swainsona laxa,woody
Swainsona microphylla,herbaceous
Swainsona oligophylla,herbaceous
Swainsona oroboides,herbaceous
Swainsona phacoides,herbaceous
Swainsona stipularis,herbaceous
Swainsona tenuis,herbaceous
Templetonia aculeata,woody
Templetonia ceracea,woody
Templetonia egena,woody
Templetonia rossii,woody
Tephrosia coriacea,woody
Tephrosia delestangii,semi_woody
Tephrosia filipes,herbaceous
Tephrosia leptoclada,semi_woody
Tephrosia porrecta,semi_woody
Tephrosia procera,woody
Tephrosia remotiflora,semi_woody
Tephrosia rosea,woody
Tephrosia sphaerospora,herbaceous
Tephrosia subpectinata,woody
Tephrosia supina,semi_woody
Trifolium campestre,herbaceous
Trifolium repens,herbaceous
Trifolium subterraneum,herbaceous
Trigonella suavissima,herbaceous
Ulex europaeus,woody
Uraria lagopodioides,herbaceous
Vachellia farnesiana,woody
Vachellia pachyphloia,woody
Vachellia pallidifolia,woody
Vachellia suberosa,woody
Vachellia valida,woody
Vandasina retusa,woody
Vicia sativa,herbaceous
Vigna lanceolata,herbaceous
Vigna radiata,herbaceous
Vigna vexillata,herbaceous
Zornia adenophora,herbaceous
Zornia albiflora,herbaceous
Zornia disticha,herbaceous
Zornia muriculata,herbaceous
Zornia prostrata,herbaceous
Frankenia cinerea,woody
Frankenia eremophila,woody
Frankenia gracilis,woody
Frankenia pauciflora,woody
Frankenia serpyllifolia,semi_woody
Frankenia sessilis,woody
Erodium aureum,herbaceous
Erodium botrys,herbaceous
Erodium brachycarpum,herbaceous
Erodium carolinianum,herbaceous
Erodium cicutarium,herbaceous
Erodium crinitum,herbaceous
Erodium cygnorum,herbaceous
Geranium antrorsum,herbaceous
Geranium retrorsum,herbaceous
Geranium solanderi,herbaceous
Pelargonium littorale,herbaceous
Brunonia australis,herbaceous
Dampiera altissima,semi_woody
Dampiera candicans,woody
Dampiera cinerea,woody
Dampiera dysantha,woody
Dampiera incana,semi_woody
Dampiera lanceolata,woody
Dampiera lavandulacea,woody
Dampiera lindleyi,semi_woody
Dampiera linearis,herbaceous
Dampiera pedunculata,semi_woody
Dampiera purpurea,woody
Dampiera spicigera,semi_woody
Dampiera stenostachya,semi_woody
Dampiera stricta,semi_woody
Goodenia albiflora,woody
Goodenia armitiana,herbaceous
Goodenia armstrongiana,herbaceous
Goodenia bellidifolia,herbaceous
Goodenia berardiana,herbaceous
Goodenia blackiana,herbaceous
Goodenia cusackiana,herbaceous
Goodenia cycloptera,herbaceous
Goodenia drummondii,semi_woody
Goodenia fascicularis,herbaceous
Goodenia geniculata,herbaceous
Goodenia glabra,herbaceous
Goodenia havilandii,herbaceous
Goodenia hederacea,herbaceous
Goodenia hispida,herbaceous
Goodenia janamba,herbaceous
Goodenia lamprosperma,herbaceous
Goodenia lunata,herbaceous
Goodenia microptera,herbaceous
Goodenia mimuloides,herbaceous
Goodenia nuda,herbaceous
Goodenia odonnellii,herbaceous
Goodenia ovata,semi_woody
Goodenia pascua,herbaceous
Goodenia pilosa,herbaceous
Goodenia pinnatifida,herbaceous
Goodenia prostrata,herbaceous
Goodenia pumilio,herbaceous
Goodenia stobbsiana,woody
Goodenia strangfordii,woody
Goodenia triodiophila,herbaceous
Goodenia varia,woody
Goodenia vernicosa,semi_woody
Goodenia vilmoriniae,herbaceous
Lechenaultia divaricata,woody
Scaevola albida,herbaceous
Scaevola amblyanthera,semi_woody
Scaevola anchusifolia,semi_woody
Scaevola browniana,woody
Scaevola crassifolia,woody
Scaevola depauperata,woody
Scaevola humilis,herbaceous
Scaevola parvibarbata,herbaceous
Scaevola parvifolia,semi_woody
Scaevola ramosissima,herbaceous
Scaevola restiacea,semi_woody
Scaevola spinescens,woody
Velleia cycnopotamica,herbaceous
Velleia glabrata,herbaceous
Velleia montana,herbaceous
Velleia rosea,herbaceous
Velleia trinervis,herbaceous
Codonocarpus cotinifolius,woody
Codonocarpus pyramidalis,woody
Anigozanthos bicolor,herbaceous
Anigozanthos humilis,herbaceous
Conostylis aculeata,herbaceous
Conostylis argentea,herbaceous
Conostylis juncea,herbaceous
Conostylis pusilla,herbaceous
Conostylis setigera,herbaceous
Haemodorum brevicaule,herbaceous
Haemodorum coccineum,herbaceous
Phlebocarya ciliata,herbaceous
Glischrocaryon aureum,semi_woody
Glischrocaryon behrii,herbaceous
Gonocarpus chinensis,herbaceous
Gonocarpus elatus,semi_woody
Gonocarpus leptothecus,semi_woody
Gonocarpus mezianus,herbaceous
Gonocarpus micranthus,herbaceous
Gonocarpus montanus,herbaceous
Gonocarpus nodulosus,herbaceous
Gonocarpus tetragynus,herbaceous
Gonocarpus teucrioides,herbaceous
Haloragis aspera,herbaceous
Haloragis glauca,herbaceous
Haloragis gossei,herbaceous
Haloragis maierae,herbaceous
Haloragis trigonocarpa,herbaceous
Agrostocrinum scabrum,herbaceous
Caesia calliantha,herbaceous
Caesia sp. Wongan (K.F.Kenneally 8820),herbaceous
Corynotheca micrantha,semi_woody
Dianella brevicaulis,herbaceous
Dianella caerulea,herbaceous
Dianella odorata,herbaceous
Dianella revoluta,herbaceous
Thelionema caespitosum,herbaceous
Tricoryne anceps,herbaceous
Tricoryne elatior,herbaceous
Gyrocarpus americanus,woody
Hypericum gramineum,herbaceous
Hypericum japonicum,herbaceous
Hypericum perforatum,herbaceous
Pauridia glabella,herbaceous
Ferraria crispa,herbaceous
Moraea flaccida,herbaceous
Moraea setifolia,herbaceous
Orthrosanthus multiflorus,herbaceous
Patersonia drummondii,herbaceous
Patersonia glabrata,herbaceous
Patersonia occidentalis,herbaceous
Patersonia rudis,herbaceous
Patersonia sericea,herbaceous
Patersonia umbrosa,herbaceous
Romulea rosea,herbaceous
Sparaxis bulbifera,herbaceous
Juncus aridicola,herbaceous
Juncus australis,herbaceous
Juncus continuus,herbaceous
Juncus phaeanthus,herbaceous
Juncus subsecundus,herbaceous
Luzula acutifolia,herbaceous
Luzula flaccida,herbaceous
Luzula meridionalis,herbaceous
Luzula modesta,herbaceous
Triglochin isingiana,herbaceous
Anisomeles inodora,semi_woody
Anisomeles languida,semi_woody
Basilicum polystachyon,herbaceous
Clerodendrum floribundum,woody
Clerodendrum inerme,woody
Clerodendrum tatei,herbaceous
Dicrastylis cordifolia,woody
Dicrastylis costelloi,woody
Dicrastylis fulva,woody
Dicrastylis lewellinii,woody
Gmelina dalrympleana,woody
Hemiandra pungens,woody
Hemigenia purpurea,woody
Marrubium vulgare,woody
Mesosphaerum suaveolens,woody
Microcorys sp. Mt Gibson (S.Patrick 2098),woody
Newcastelia cephalantha,woody
Newcastelia cladotricha,woody
Newcastelia spodiotricha,woody
Pityrodia lepidota,woody
Premna acuminata,woody
Prostanthera althoferi,woody
Prostanthera behriana,woody
Prostanthera cuneata,woody
Prostanthera eckersleyana,woody
Prostanthera grylloana,woody
Prostanthera semiteres,woody
Prostanthera spinosa,woody
Prostanthera striatiflora,woody
Prostanthera wilkieana,woody
Quoya oldfieldii,woody
Salvia verbenaca,herbaceous
Stachys arvensis,herbaceous
Teucrium corymbosum,herbaceous
Teucrium racemosum,herbaceous
Teucrium sessiliflorum,herbaceous
Teucrium teucriiflorum,woody
Westringia cephalantha,woody
Westringia cheelii,woody
Westringia dampieri,woody
Westringia rigida,woody
Cassytha aurea,herbaceous
Cassytha capillaris,herbaceous
Cassytha filiformis,herbaceous
Cassytha flindersii,herbaceous
Cassytha glabella,herbaceous
Cassytha melantha,herbaceous
Cassytha nodiflora,herbaceous
Cassytha peninsularis,herbaceous
Cassytha pomiformis,herbaceous
Cassytha pubescens,herbaceous
Cassytha racemosa,herbaceous
Endiandra glauca,woody
Barringtonia acutangula,woody
Planchonia careya,woody
Utricularia chrysantha,herbaceous
Linum marginale,herbaceous
Buchnera asperata,semi_woody
Buchnera gracilis,herbaceous
Buchnera linearis,herbaceous
Buchnera urticifolia,herbaceous
Logania ovata,woody
Logania scabrella,woody
Mitrasacme connata,herbaceous
Mitrasacme nummularia,herbaceous
Mitrasacme polymorpha,herbaceous
Orianthera serpyllifolia,semi_woody
Phyllangium divergens,herbaceous
Amyema fitzgeraldii,woody
Amyema hilliana,woody
Amyema linophylla,woody
Amyema maidenii,woody
Amyema miquelii,woody
Amyema miraculosa,woody
Amyema quandang,woody
Amyema villiflora,woody
Dendrophthoe glabrescens,woody
Dendrophthoe vitellina,woody
Diplatia grandibractea,woody
Lysiana casuarinae,woody
Lysiana exocarpi,woody
Lysiana linearifolia,woody
Lysiana spathulata,woody
Lysiana subfalcata,woody
Nuytsia floribunda,woody
Abutilon cryptopetalum,woody
Abutilon fraseri,woody
Abutilon halophilum,herbaceous
Abutilon hannii,woody
Abutilon leucopetalum,woody
Abutilon otocarpum,woody
Abutilon oxycarpum,woody
Adansonia gregorii,woody
Alyogyne hakeifolia,woody
Alyogyne huegelii,woody
Alyogyne pinoniana,woody
Androcalva loxophylla,woody
Brachychiton australis,woody
Brachychiton diversifolius,woody
Brachychiton gregorii,woody
Brachychiton megaphyllus,woody
Brachychiton muellerianus,woody
Brachychiton paradoxus,woody
Brachychiton populneus,woody
Brachychiton vitifolius,woody
Corchorus crozophorifolius,woody
Corchorus lasiocarpus,herbaceous
Corchorus sericeus,semi_woody
Corchorus sidoides,woody
Corchorus tectus,semi_woody
Corchorus tridens,semi_woody
Gossypium australe,woody
Gossypium robinsonii,semi_woody
Gossypium sturtianum,woody
Grewia mesomischa,woody
Grewia retusifolia,woody
Helicteres cana,woody
Helicteres tenuipila,semi_woody
Herissantia crispa,herbaceous
Hibiscus austrinus,woody
Hibiscus brachysiphonius,woody
Hibiscus burtonii,woody
Hibiscus krichauffianus,woody
Hibiscus leptocladus,semi_woody
Hibiscus meraukensis,woody
Hibiscus sturtii,woody
Hibiscus verdcourtii,woody
Lasiopetalum discolor,woody
Lasiopetalum schulzenii,woody
Lawrencia densiflora,semi_woody
Lawrencia repens,semi_woody
Lawrencia squamata,woody
Malva preissiana,woody
Malva weinmanniana,herbaceous
Malvastrum americanum,semi_woody
Melhania oblongifolia,woody
Melochia corchorifolia,semi_woody
Seringia cacaobrunnea,woody
Seringia elliptica,woody
Seringia nephrosperma,woody
Sida ammophila,semi_woody
Sida arsiniata,semi_woody
Sida brachypoda,semi_woody
Sida calyxhymenia,semi_woody
Sida cordifolia,semi_woody
Sida corrugata,semi_woody
Sida cunninghamii,semi_woody
Sida ectogama,semi_woody
Sida fibulifera,semi_woody
Sida goniocarpa,semi_woody
Sida hackettiana,semi_woody
Sida intricata,semi_woody
Sida petrophila,semi_woody
Sida platycalyx,semi_woody
Sida rhombifolia,semi_woody
Sida rohlenae,semi_woody
Sida sp. dark green fruits (S.van Leeuwen 2260),semi_woody
Sida sp. L (A.M.Ashby 4202),semi_woody
Sida sp. limestone (D.E.Albrecht 5748),semi_woody
Sida sp. Musselbrook (M.B.Thomas+ MRS437),woody
Sida sp. Rainbow Valley (D.E.Albrecht 6601),semi_woody
Sida sp. Simpson Desert dunes (P.K.Latz 18008),semi_woody
Sida sp. spiciform panicles (E.Leyland s.n. 14/8/1990),semi_woody
Sida sp. Wakaya Desert (P.K.Latz 11894),semi_woody
Sida spenceriana,semi_woody
Sida spinosa,semi_woody
Sida spodochroma,semi_woody
Sida trichopoda,semi_woody
Thomasia petalocalyx,woody
Triumfetta breviaculeata,woody
Triumfetta incana,woody
Triumfetta longipedunculata,woody
Triumfetta plumigera,woody
Waltheria indica,woody
Azadirachta indica,woody
Melia azedarach,woody
Owenia acidula,woody
Owenia vernicosa,woody
Tinospora smilacina,woody
Glinus lotoides,herbaceous
Agonis theiformis,woody
Aluta maisonneuvei,woody
Angophora costata,woody
Angophora hispida,woody
Asteromyrtus lysicephala,woody
Asteromyrtus symphyocarpa,woody
Baeckea elderiana,woody
Baeckea ericaea,woody
Baeckea frutescens,woody
Baeckea gunniana,woody
Baeckea muricata,woody
Baeckea pentagonantha,woody
Baeckea sp. Murchison River (M.E.Trudgen 12009),woody
Baeckea sp. Nanga (A.S.George 11346),woody
Balaustion pulcherrimum,woody
Beaufortia aestiva,woody
Beaufortia puberula,woody
Callistemon phoeniceus,woody
Calothamnus blepharospermus,woody
Calothamnus formosus,woody
Calothamnus gilesii,woody
Calothamnus phellosus,woody
Calothamnus quadrifidus,woody
Calytrix achaeta,woody
Calytrix birdii,woody
Calytrix brevifolia,woody
Calytrix breviseta,woody
Calytrix brownii,woody
Calytrix carinata,woody
Calytrix creswellii,woody
Calytrix exstipulata,woody
Calytrix flavescens,woody
Calytrix formosa,woody
Calytrix fraseri,woody
Calytrix glaberrima,woody
Calytrix harvestiana,woody
Calytrix leschenaultii,woody
Calytrix strigosa,woody
Calytrix tetragona,woody
Calytrix violacea,woody
Chamelaucium ciliatum,woody
Chamelaucium pauciflorum,woody
Corymbia aspera,woody
Corymbia bella,woody
Corymbia bleeseri,woody
Corymbia cadophora,woody
Corymbia calophylla,woody
Corymbia clarksoniana,woody
Corymbia confertiflora,woody
Corymbia dallachiana,woody
