canonicalName,RS_value
Calotis cuneifolia,herbaceous
Calotis cymbacantha,herbaceous
Calotis erinacea,semi_woody
Calotis hispidula,herbaceous
Calotis multicaulis,herbaceous
Calotis plumulifera,herbaceous
Carduus tenuiflorus,herbaceous
Carthamus lanatus,herbaceous
Cassinia complanata,woody
Cassinia laevis,woody
Celmisia pugioniformis,semi_woody
Celmisia tomentella,herbaceous
Centaurea melitensis,herbaceous
Centipeda cunninghamii,herbaceous
Centipeda minima,herbaceous
Centipeda thespidioides,herbaceous
Cephalipterum drummondii,herbaceous
Chrysanthemoides monilifera,woody
Chrysocephalum apiculatum,herbaceous
Chrysocephalum eremaeum,herbaceous
Chrysocephalum pterochaetum,herbaceous
Chrysocephalum puteale,semi_woody
Chrysocephalum semipapposum,herbaceous
Chthonocephalus pseudevax,herbaceous
Cirsium vulgare,herbaceous
Coronidium monticola,herbaceous
Coronidium scorpioides,herbaceous
Cotula australis,herbaceous
Cotula cotuloides,herbaceous
Craspedia aurantia,herbaceous
Craspedia gracilis,herbaceous
Craspedia variabilis,herbaceous
Cratystylis conocephala,woody
Cyanthillium cinereum,herbaceous
Cymbonotus preissianus,herbaceous
Dielitzia tysonii,herbaceous
Emilia sonchifolia,herbaceous
Erigeron bonariensis,herbaceous
Erigeron sumatrensis,herbaceous
Eriochlamys behrii,herbaceous
Erymophyllum ramosum,herbaceous
Euchiton japonicus,herbaceous
Euchiton traversii,herbaceous
Feldstonia nitens,herbaceous
Flaveria trinervia,herbaceous
Gilberta tenuifolia,herbaceous
Gilruthia osbornei,herbaceous
Gnephosis arachnoidea,herbaceous
Gnephosis eriocarpa,herbaceous
Gnephosis tenuissima,herbaceous
Helipterum craspedioides,herbaceous
Hyalochlamys globifera,herbaceous
Hyalosperma demissum,herbaceous
Hyalosperma glutinosum,herbaceous
Hyalosperma semisterile,herbaceous
Hypochaeris glabra,herbaceous
Hypochaeris radicata,herbaceous
Isoetopsis graminifolia,herbaceous
Ixiochlamys cuneifolia,herbaceous
Ixodia achillaeoides,woody
Lactuca serriola,herbaceous
Lagenophora huegelii,herbaceous
Lagenophora stipitata,herbaceous
Lawrencella davenportii,herbaceous
Lawrencella rosea,herbaceous
Leiocarpa leptolepis,semi_woody
Leiocarpa semicalva,herbaceous
Leiocarpa supina,herbaceous
Leiocarpa tomentosa,herbaceous
Leiocarpa websteri,herbaceous
Leontodon rhagadioloides,herbaceous
Leptinella filicula,herbaceous
Leptorhynchos squamatus,herbaceous
Leptorhynchos tetrachaetus,herbaceous
Leucochrysum stipitatum,herbaceous
Microseris lanceolata,herbaceous
Microseris scapigera,herbaceous
Millotia myosotidifolia,herbaceous
Millotia perpusilla,herbaceous
Millotia tenuifolia,herbaceous
Minuria cunninghamii,herbaceous
Minuria denticulata,herbaceous
Minuria integerrima,herbaceous
Minuria leptophylla,herbaceous
Minuria macrorhiza,herbaceous
Minuria rigida,semi_woody
Myriocephalus guerinae,herbaceous
Myriocephalus pygmaeus,herbaceous
Myriocephalus rudallii,herbaceous
Olearia algida,woody
Olearia axillaris,woody
Olearia brevipedunculata,woody
Olearia ciliata,woody
Olearia decurrens,woody
Olearia exiguifolia,woody
Olearia floribunda,woody
Olearia frostii,woody
Olearia grandiflora,semi_woody
Olearia lepidophylla,woody
Olearia muelleri,woody
Olearia passerinoides,woody
Olearia pimeleoides,woody
Olearia ramulosa,woody
Olearia rosmarinifolia,woody
Olearia subspicata,woody
Olearia teretifolia,woody
Ozothamnus cupressoides,woody
Ozothamnus retusus,woody
Pappochroma bellidioides,herbaceous
Pappochroma nitidum,herbaceous
Pembertonia latisquamea,semi_woody
Pentalepis ecliptoides,herbaceous
Pleurocarpaea denticulata,herbaceous
Pluchea dentex,herbaceous
