species,eoo_aus,aoo_aus
Chamaecrista nomame var. nomame,3443507.672,736
Chamaecrista symonii,2400572.888,688
Chamaeraphis hordeacea,369997.5258,204
Chamaescilla corymbosa,2386104.734,676
Chamaescilla corymbosa var. corymbosa,2535237.934,1684
Chamaescilla corymbosa var. paradoxa,102539.7717,40
Chamaescilla gibsonii,39595.5124,64
Chamaescilla spiralis,162895.8205,288
Chamaescilla versicolor,164356.7307,236
Chamaexeros fimbriata,318712.5398,400
Chamaexeros longicaulis,101.3203096,16
Chamaexeros macranthera,191801.196,132
Chamaexeros serra,114951.3968,344
Chamelaucium axillare,75221.7197,168
Chamelaucium brevifolium,76118.48167,152
Chamelaucium ciliatum,383226.6624,1152
Chamelaucium confertiflorum,22426.03899,68
Chamelaucium drummondii,1361551.715,404
Chamelaucium drummondii subsp. Carnamah (R.J.Cranfield & P.J.Spencer 7966),NA,8
Chamelaucium marchantii,874.6960597,28
Chamelaucium megalopetalum,113550.717,400
Chamelaucium micranthum,258546.4409,92
Chamelaucium pauciflorum,273167.3378,720
Chamelaucium pauciflorum subsp. Perenjori (B.J.Conn 2181),NA,8
Chamelaucium sp. Bendering (T.J.Alford 110),31839.25798,84
Chamelaucium sp. Bunjil (M.E.Ballingall 1970),0,8
Chamelaucium sp. Canna (G.J.Keighery s.n. PERTH 02236435),99.07942592,12
Chamelaucium sp. Cape Riche (C.A.Gardner 2153),1783.117918,32
Chamelaucium sp. Cape Vancouver (B.Swainson & D.Davidson s.n. PERTH 01259660),NA,4
Chamelaucium sp. Cataby (G.J.Keighery 11009),0,4
Chamelaucium sp. Dryandra (D.Rose 446),5409.207348,32
Chamelaucium sp. Gingin (N.G.Marchant 6),0,8
Chamelaucium sp. Koolyanobbing (V.Clarke 644),106.674433,16
Chamelaucium sp. Merredin (G.J.Keighery & N.Gibson 6320),37346.43447,208
Chamelaucium sp. Mingenew (A.Carr 115),1.166465864,8
Chamelaucium sp. Mt Frankland (A.S.George 11117),610.3052388,24
Chamelaucium sp. Mt Heywood (K.Newbey 7954),4183.887924,28
Chamelaucium sp. Mt Maxwell (R.Davis RD 524),31.49516361,20
Chamelaucium sp. Mukinbudin (M.Squire 007),53.09249958,12
Chamelaucium sp. Nornalup (N.G.Marchant 76/125),NA,4
Chamelaucium sp. Parker Range (B.H.Smith 1255),1087.792758,20
Chamelaucium sp. S coastal plain (R.D.Royce 4872),205.87771,24
Chamelaucium sp. Tenindewa (F.Lullfitz L 3219),NA,8
Chamelaucium sp. Victoria (J.Coleby-Williams 99),14503.83069,28
Chamelaucium sp. Walpole (P.G.Wilson 6318),16353.08736,32
Chamelaucium sp. Winchester (C.Chapman s.n. PERTH 07879180),57258.93328,52
Chamelaucium sp. Wongan Hills (B.H.Smith 1140),8128.343193,56
Chamelaucium sp. Yalgoo (Y.Chadwick 1816),7119.939669,24
Chamelaucium sp. Yoongarillup (G.J.Keighery 3635),2721.079614,48
Chamelaucium sp. Yuna (A.C.Burns 53),2493.359317,16
Chamelaucium virgatum,35383.23359,120
Cheilanthes adiantoides,516829.5765,388
Cheilanthes austrotenuifolia,7815414.32,2796
Cheilanthes brownii,5975364.254,1956
Cheilanthes caudata,1801224.718,444
Cheilanthes contigua,4703059.574,648
Cheilanthes distans,7495716.387,2156
Cheilanthes fragillima,276986.6726,332
Cheilanthes lasiophylla,5910751.522,2900
Cheilanthes nitida,1263053.692,512
Cheilanthes nudiuscula,3825820.733,952
Cheilanthes praetermissa,266916.1348,216
Cheilanthes prenticei,152190.4471,72
Cheilanthes pumilio,3607360.294,688
Cheilanthes sieberi,7073806.812,436
Cheilanthes sieberi subsp. pseudovellea,4302498.774,436
Cheilanthes sieberi subsp. sieberi,8710436.702,5896
Cheilanthes tenuifolia,8400827.67,1148
Cheilocostus potierae,55539.70409,92
Cheiranthera alternifolia,382968.9284,656
Cheiranthera borealis,5414.55073,92
Cheiranthera brevifolia,142315.5548,148
Cheiranthera filifolia,344444.1027,316
Cheiranthera linearis,763891.4667,492
Cheiranthera parviflora,183541.0045,92
Cheiranthera preissiana,67011.81952,148
Cheiranthera simplicifolia,117351.9877,240
Cheiranthera telfordii,4927.459675,104
Cheiranthera volubilis,8593.132021,128
Chenopodium auricomiforme,153174.8587,36
Chenopodium auricomum,4944815.053,1508
Chenopodium curvispicatum,2340752.887,1152
Chenopodium desertorum,2723416.724,260
Chenopodium desertorum subsp. anidiophyllum,2269389.912,1116
Chenopodium desertorum subsp. desertorum,3310706.123,1464
Chenopodium desertorum subsp. microphyllum,3356337.349,1224
Chenopodium desertorum subsp. rectum,1326880.727,336
Chenopodium desertorum subsp. virosum,9470.52182,40
Chenopodium erosum,632506.4816,68
Chenopodium gaudichaudianum,1640527.809,532
Chenopodium glaucum,3036081.954,1152
Chenopodium hubbardii,32727.18899,28
Chenopodium nitrariaceum,3306870.829,1176
Cheyniana microphylla,15783.72027,184
Cheyniana rhodella,594.7012489,28
Chiloglottis anaticeps,1750.051794,40
Chiloglottis cornuta,334137.0561,396
Chiloglottis longiclavata,241864.6808,52
Chiloglottis platyptera,14769.3724,60
Chiloglottis seminuda,32778.20664,148
Chiloglottis sphyrnoides,42391.5061,184
Chiloglottis trapeziformis,570820.5506,412
Chiloglottis trilabra,534756.5419,360
Chingia australis,3812.692712,32
Chionachne cyathopoda,2898426.04,728
Chionachne hubbardiana,953131.954,288
Chionanthus axillaris,134795.7411,172
Chionanthus ramiflorus,606585.2573,848
Chionanthus sleumeri,5095.665859,136
Chionochloa frigida,1127.904403,100
Chisocheton longistipitatus,35237.49586,156
Chlaenosciadium gardneri,27574.65922,100
Chloanthes coccinea,74851.45931,284
Chloanthes glandulosa,1335.081149,48
Chloanthes parviflora,1063033.037,972
Chloanthes stoechadis,138224.7915,316
Chloris divaricata,2238361.129,184
Chloris divaricata var. cynodontoides,451311.9999,68
Chloris divaricata var. divaricata,1600152.022,560
Chloris lobata,1912152.076,628
Chloris pectinata,5299528.618,1468
Chloris pumilio,4266706.649,396
Chloris sp. (Edgbaston R.J.Fensham 5694),170.5273093,20
Chloris truncata,5259834.971,2176
Chloris ventricosa,1586657.539,932
Chlorophytum laxum,1571275.936,304
Chondropyxis halophila,583080.8103,120
Chordifex abortivus,608.5240799,28
Chordifex amblycoleus,20917.79582,140
Chordifex capillaceus,720.3122153,40
Chordifex chaunocoleus,1742.873521,20
Chordifex crispatus,29444.89866,200
Chordifex dimorphus,7532.86303,188
Chordifex fastigiatus,84448.99045,392
Chordifex gracilior,10082.43158,40
Chordifex hookeri,55129.19425,624
Chordifex isomorphus,106487.4862,208
Chordifex jacksonii,22482.51868,44
Chordifex laxus,123619.6136,472
Chordifex leucoblepharus,1935.436226,40
Chordifex microcodon,6066.925641,176
Chordifex monocephalus,24327.52875,156
Chordifex ornatus,59602.77858,52
Chordifex reseminans,3794.845902,44
Chordifex sinuosus,31248.1801,364
Chordifex sp. Ellenbrook (M.E.Trudgen MET 20790),NA,4
Chordifex sphacelatus,199494.7108,420
Chordifex stenandrus,12212.14748,100
Choretrum candollei,683314.657,1144
Choretrum chrysanthum,2888364.419,264
Choretrum glomeratum,2153533.574,1328
Choretrum lateriflorum,179885.0094,84
Choretrum pauciflorum,1830123.537,752
Choretrum pritzelii,39016.45924,48
Choretrum sp. Coxs Gap (B.J.Lepschi 4218 & T.R.Lally),81500.24313,76
Choretrum spicatum,62837.29603,188
Choretrum spicatum subsp. continentale,0.001251748,4
Choretrum spicatum subsp. spicatum,106.866246,16
Choriceras majus,76.95241604,52
Choriceras tricorne,790015.151,740
Chorilaena quercifolia,20389.55976,380
Chorizandra australis,368286.7843,296
Chorizandra cymbaria,5405123.401,644
Chorizandra enodis,1775213.129,1016
Chorizandra multiarticulata,57680.53991,56
Chorizandra sphaerocephala,222879.7767,252
Chorizema aciculare,212123.6807,200
Chorizema aciculare subsp. aciculare,221813.0024,672
Chorizema aciculare subsp. laxum,192470.5421,264
Chorizema carinatum,27622.55118,84
Chorizema circinale,36677.38348,40
Chorizema cordatum,1510259.98,372
Chorizema cytisoides,13246.14297,120
Chorizema dicksonii,60259.94201,440
Chorizema diversifolium,368436.8416,240
Chorizema genistoides,137930.0587,172
Chorizema glycinifolium,625905.8663,520
Chorizema humile,6850.711997,64
Chorizema ilicifolium,804084.9862,148
Chorizema nanum,78268.69935,276
Chorizema nervosum,24757.01879,168
Chorizema obtusifolium,24613.13525,176
Chorizema parviflorum,732083.3876,748
Chorizema racemosum,514997.7817,564
Chorizema reticulatum,84595.73051,276
Chorizema retrorsum,32949.15289,264
Chorizema rhombeum,131996.0272,524
Chorizema rhynchotropis,34779.95575,140
Chorizema spathulatum,17756.02947,140
Chorizema trigonum,4964.163447,100
Chorizema ulotropis,46662.7466,76
Chorizema uncinatum,43925.7639,272
Chorizema varium,2002.671926,16
Christella arida,301799.2758,64
Christella dentata,4591699.92,1120
Christella hispidula,663627.6811,156
Christella parasitica,176971.0042,112
Christella subpubescens,36516.0974,112
Christia australasica,398576.1834,264
Chrysitrix distigmatosa,234382.053,240
Chrysocephalum apiculatum,8739859.938,9260
Chrysocephalum apiculatum subsp. apiculatum,869387.0459,556
Chrysocephalum apiculatum subsp. arachnoideum,NA,4
Chrysocephalum apiculatum subsp. argenteum,NA,8
Chrysocephalum apiculatum subsp. attenuatum,NA,4
Chrysocephalum apiculatum subsp. caespitosum,NA,4
Chrysocephalum apiculatum subsp. congestum,509234.5767,228
Chrysocephalum apiculatum subsp. curvifolium,2925.82546,12
Chrysocephalum apiculatum subsp. exile,NA,8
Chrysocephalum apiculatum subsp. filifolium,NA,4
Chrysocephalum apiculatum subsp. glandulosum,986373.5808,164
Chrysocephalum apiculatum subsp. gracile,20018.29933,40
Chrysocephalum apiculatum subsp. gracilescens,305.5177764,12
Chrysocephalum apiculatum subsp. insigne,NA,4
Chrysocephalum apiculatum subsp. norsemanense,119675.4894,52
Chrysocephalum apiculatum subsp. odorum,130736.2827,12
Chrysocephalum apiculatum subsp. orarium,0,4
Chrysocephalum apiculatum subsp. pilbarense,358779.9297,144
Chrysocephalum apiculatum subsp. racemosum,1993641.01,320
Chrysocephalum apiculatum subsp. semiamplexicaule,127753.403,24
Chrysocephalum apiculatum subsp. simpliciusculum,42560.54227,12
Chrysocephalum apiculatum subsp. stoloniferum,NA,4
Chrysocephalum apiculatum subsp. undulatum,NA,4
Chrysocephalum apiculatum subsp. variabile,NA,4
Chrysocephalum baxteri,504671.1759,940
Chrysocephalum eremaeum,2640334.944,1448
Chrysocephalum gilesii,366148.1192,188
Chrysocephalum pterochaetum,2811392.963,1500
Chrysocephalum puteale,590361.6287,204
Chrysocephalum semipapposum,5104533.757,3652
Chrysocephalum semipapposum subsp. asperum,395184.2402,196
Chrysocephalum semipapposum subsp. brevifolium,200646.5097,156
Chrysocephalum semipapposum subsp. lineare,446882.1487,348
Chrysocephalum semipapposum subsp. occidentale,154024.4022,72
Chrysocephalum semipapposum subsp. semipapposum,373333.0015,272
Chrysocephalum sericeum,12225.41832,52
Chrysocephalum vitellinum,123086.6176,104
Chrysophyllum roxburghii,109034.6541,100
Chrysopogon aciculatus,3060131.452,220
Chrysopogon elongatus,1364009.213,620
Chrysopogon fallax,7609241.233,2412
Chrysopogon filipes,2334522.216,768
Chrysopogon latifolius,489387.3668,496
Chrysopogon oliganthus,2439071.783,476
Chrysopogon pallidus,4294659.701,416
Chrysopogon rigidus,19548.20753,36
Chrysopogon setifolius,735338.2577,156
Chrysopogon sylvaticus,1168100.965,200
Chthonocephalus muellerianus,34541.15385,76
Chthonocephalus multiceps,NA,4
Chthonocephalus oldfieldianus,0,8
Chthonocephalus pseudevax,3248132.656,1416
Chthonocephalus spathulatus,7.838902034,12
Chthonocephalus tomentellus,130225.4699,92
Chthonocephalus viscosus,158425.8627,148
Cinnamomum baileyanum,157828.9227,180
Cinnamomum laubatii,70677.67322,368
Cinnamomum oliveri,866064.1451,392
Cinnamomum propinquum,128.7027621,60
Cinnamomum virens,30043.91168,156
Cissampelos pareira,17601.20291,48
Cissampelos pareira var. hirsuta,25700.66843,84
Cissus adnata,2091727.991,652
Cissus antarctica,789985.2191,836
Cissus aristata,4.52E-09,8
Cissus cardiophylla,260422.8072,344
Cissus hastata,262520.5458,388
Cissus hypoglauca,1121405.881,1048
Cissus oblonga,478698.2659,772
Cissus penninervis,154440.6464,384
Cissus pentaclada,121083.4199,120
Cissus reniformis,2370684.875,856
Cissus repens,1078188.054,340
Cissus sterculiifolia,680088.0799,392
Cissus vinosa,16346.57151,268
Citronella moorei,3249172.904,344
Citronella smythii,90516.55493,380
Citrus australasica,19258.90865,156
Citrus australis,17692.84151,144
Citrus garrawayi,51874.78752,156
Citrus glauca,1469667.347,732
Citrus gracilis,107236.8717,104
Citrus inodora,3226.447407,56
Cladium mariscus,4745784.483,56
Cladium procerum,6121128.748,512
Cladopus queenslandicus,2360.46972,124
Claoxylon angustifolium,54855.73747,192
Claoxylon australe,818661.3453,692
Claoxylon hillii,1689016.513,524
Claoxylon tenerifolium,1307655.033,216
Claoxylon tenerifolium subsp. boreale,86013.1886,172
Claoxylon tenerifolium subsp. tenerifolium,480474.7426,340
Clausena brevistyla,227181.2699,324
Clausena excavata,0.027052104,4
Clausena smyrelliana,0.191787248,4
Clausospicula extensa,2676.759217,40
Cleidion javanicum,118869.1639,288
Cleistanthus apodus,197929.496,548
Cleistanthus cunninghamii,296090.3616,468
Cleistanthus dallachyanus,59304.48778,172
Cleistanthus discolor,4044.690029,124
Cleistanthus hylandii,73563.63588,236
Cleistanthus myrianthus,1240.970634,132
Cleistanthus peninsularis,81768.86483,228
Cleistanthus semiopacus,31461.03749,156
Cleistanthus xerophilus,203084.214,300
Cleistochloa rigida,537357.7941,376
Cleistochloa sclerachne,180016.9671,104
Cleistochloa subjuncea,735158.8418,732
Clematicissus angustissima,36174.23602,228
Clematicissus opaca,1169158.599,1320
Clematis aristata,3229747.672,1324
Clematis clitorioides,105376.0217,308
Clematis decipiens,2655700.723,844
Clematis delicata,66049.54568,160
Clematis fawcettii,17336.80703,96
Clematis gentianoides,21366.00921,152
Clematis glycinoides,1940440.089,1648
Clematis leptophylla,1078113.401,600
Clematis linearifolia,962967.5719,376
Clematis microphylla,4535820.183,3536
Clematis pickeringii,3401960.165,616
Clematis pubescens,270403.0463,952
Cleome arenitensis,NA,4
Cleome bundeica,275.7821082,24
Cleome cleomoides,815397.2311,456
Cleome gynandra,1754927.673,132
Cleome insolata,319.0634665,28
Cleome kenneallyi,21003.81283,48
Cleome limmenensis,13638.33928,36
Cleome linophylla,70032.89196,72
Cleome lophosperma,376.3656354,32
Cleome microaustralica,100648.3919,192
Cleome oxalidea,2606471.596,440
Cleome sp. Bonaparte Archipelago (A.A.Mitchell 4774),16309.51075,40
Cleome tetrandra,4849267.089,724
Cleome tetrandra var. pentata,646264.1441,128
Cleome tetrandra var. tetrandra,4293016.434,440
Cleome uncifera,754443.2629,128
Cleome uncifera subsp. microphylla,215219.0793,52
Cleome uncifera subsp. uncifera,269428.2907,164
Cleome viscosa,6806514.358,3796
Clerodendrum costatum,1324906.688,596
Clerodendrum floribundum,6946987.248,2728
Clerodendrum floribundum var. angustifolium,3406285.742,256
Clerodendrum floribundum var. attenuatum,3356997.894,92
Clerodendrum floribundum var. coriaceum,2909292.337,528
Clerodendrum floribundum var. floribundum,5209733.118,164
Clerodendrum floribundum var. ovatum,3741985.661,448
Clerodendrum grayi,3957.453613,76
Clerodendrum heterophyllum,138973.0336,44
Clerodendrum inerme,3429207.426,1004
Clerodendrum longiflorum,NA,4
Clerodendrum longiflorum var. glabrum,2547959.683,484
Clerodendrum parvulum,58343.29859,148
Clerodendrum tatei,93289.98111,336
Clerodendrum tomentosum,6154199.718,920
Clerodendrum tomentosum var. lanceolatum,2261030.073,172
Clerodendrum tomentosum var. mollissima,115650.468,60
Clerodendrum tomentosum var. tomentosum,5685310.917,276
Clerodendrum tracyanum,28436.1934,280
Climacium dendroides,2615.26457,24
Clitoria australis,490780.7837,292
Cnesmocarpon dasyantha,88455.41161,260
Coatesia paniculata,323829.5666,412
Coccinia grandis,2958989.5,164
Cochlospermum arafuricum,27885.70522,52
Cochlospermum fraseri,773250.0851,456
Cochlospermum fraseri subsp. fraseri,1447769.262,288
Cochlospermum fraseri subsp. heteronemum,711480.925,376
Cochlospermum gillivraei,1612609.868,544
Cochlospermum gregorii,849111.4872,372
Cochlospermum macnamarae,1034.738684,20
Cocos nucifera,458043.6851,60
Codiaeum membranaceum,17773.12423,56
Codiaeum variegatum var. moluccanum,164181.9034,420
Codonocarpus attenuatus,995645.8027,404
Codonocarpus cotinifolius,5364542.91,2380
Codonocarpus pyramidalis,187688.2223,468
Coelachne pulchella,466916.9594,168
Coelospermum dasylobum,423.2433785,64
Coelospermum decipiens,124071.3135,524
Coelospermum paniculatum,242889.9599,84
Coelospermum paniculatum var. paniculatum,461065.2837,232
Coelospermum paniculatum var. syncarpum,641.2392816,68
Coelospermum purpureum,4890.295287,172
Coelospermum reticulatum,2010528.444,1352
Coffea brassii,57122.43018,128
Coix gasteenii,2580.175288,28
Coldenia procumbens,2213327.81,396
Coleanthera coelophylla,NA,8
Coleanthera myrtoides,180308.8867,192
Coleocarya gracilis,74812.18916,276
Coleocoma centaurea,139900.7644,128
Colobanthus affinis,69474.08022,168
Colobanthus apetalus,285961.4452,64
Colobanthus curtisiae,7170.769391,64
Colobanthus nivicola,932.5087393,60
Colobanthus pulvinatus,4697.062313,60
Colocasia esculenta,7053962.7,344
Colocasia esculenta var. aquatilis,113684.6763,44
Cololejeunea minutissima,2339282.672,56
Colubrina asiatica,2461666.699,664
Colubrina asiatica var. asiatica,1267674.41,120
Colura saccophylla,145.7307886,12
Colysis ampla,50254.25625,340
Colysis sayeri,120438.5381,184
Combretum trifoliatum,329.6123299,44
Comesperma acerosum,267450.8009,200
Comesperma albimontanense,124.6544404,20
Comesperma anemosmaragdinum,9.761597296,24
Comesperma aphyllum,132689.332,196
Comesperma breviflorum,921.3978687,56
Comesperma calcicola,21139.63048,48
Comesperma calymega,2349694.986,1572
Comesperma ciliatum,240619.6126,340
Comesperma confertum,281156.7954,432
Comesperma defoliatum,1370180.511,420
Comesperma drummondii,248361.3614,368
Comesperma ericinum,1452701.625,2624
Comesperma ericinum var. oblongatum,NA,4
Comesperma flavum,325313.0736,352
Comesperma griffinii,115709.5095,44
Comesperma integerrimum,1539016.989,944
Comesperma lanceolatum,16298.69701,36
Comesperma minutum,NA,4
Comesperma nudiusculum,14386.92427,72
Comesperma oblongatum,840.5706075,40
Comesperma pallidum,1502399.965,272
Comesperma polygaloides,858978.9808,556
Comesperma praecelsum,223.0098167,36
Comesperma retusum,1630924.431,832
Comesperma rhadinocarpum,185935.9183,56
Comesperma rhyoliticum,3965.160806,44
Comesperma sabulosum,522142.6589,116
Comesperma scoparium,2140620.489,1692
Comesperma secundum,1722207.98,436
Comesperma secundum subsp. oligotrichum,48966.47659,20
Comesperma secundum subsp. secundum,280338.3595,172
Comesperma sphaerocarpum,745025.1729,408
Comesperma spinosum,265232,472
Comesperma sylvestre,2153242.723,288
Comesperma virgatum,263138.9941,896
Comesperma viscidulum,970949.3262,176
Comesperma volubile,4357068.054,3416
Commelina agrostophylla,1394426.996,712
Commelina ciliata,2604054.333,332
Commelina cyanea,2470772.068,584
Commelina diffusa,3594684.357,864
Commelina ensifolia,7984861.798,2836
Commelina lanceolata,2819440.792,540
Commelina reticulata,27297.61656,28
Commelina roensis,0,4
Commelina sp. Lakefield NP (P.I.Forster 12943),NA,4
Commelina sp. Laura River (J.R.Clarkson 4723),16604.15964,32
Commelina sp. Sandstone (R.J.Fensham 739),NA,4
Commelina tricarinata,484475.361,92
Commelina undulata,140125.6244,16
Commersonia amystia,11327.59589,84
Commersonia apella,4373.100578,16
Commersonia bartramia,1375077.285,760
Commersonia borealis,25084.65846,140
Commersonia breviseta,152647.1859,120
Commersonia corylifolia,60662.71178,216
Commersonia craurophylla,326498.9731,336
Commersonia cygnorum,124325.9705,52
Commersonia dasyphylla,906692.4918,580
Commersonia densiflora,132874.2509,248
Commersonia erythrogyna,51.18369122,12
Commersonia gilva,8411.993625,52
Commersonia grandiflora,32703.66392,136
Commersonia hermanniifolia,32609.1198,148
Commersonia macrostipulata,7637.389599,124
Commersonia magniflora,329948.4014,160
Commersonia magniflora subsp. magniflora,122613.4406,260
Commersonia magniflora subsp. oblongifolia,35806.27025,52
Commersonia parviflora,74997.79317,144
Commersonia prostrata,110029.707,116
Commersonia rotundifolia,245962.4889,44
Commersonia rugosa,138231.5332,104
Commersonia salviifolia,10653.58462,132
Commicarpus australis,2146065.524,712
Commicarpus chinensis,NA,8
Commicarpus chinensis subsp. chinensis,NA,4
Commicarpus insularum,13024.57179,36
Connarus conchocarpus,172756.1883,68
Connarus conchocarpus subsp. conchocarpus,85656.08248,360
Conospermum acerosum,46333.78385,116
Conospermum acerosum subsp. acerosum,58440.9936,144
Conospermum acerosum subsp. hirsutum,2752.976082,68
Conospermum amoenum,117635.5205,140
Conospermum amoenum subsp. amoenum,15477.98986,52
Conospermum amoenum subsp. cuneatum,4556.473937,44
Conospermum boreale,97238.21249,120
Conospermum boreale subsp. ascendens,40467.64071,132
Conospermum boreale subsp. boreale,14672.17847,104
Conospermum brachyphyllum,34661.45896,184
Conospermum bracteosum,53743.54605,192
Conospermum brownii,154906.7536,336
Conospermum burgessiorum,7611.208581,136
Conospermum caeruleum,125325.5091,372
Conospermum caeruleum subsp. caeruleum,21759.25505,232
Conospermum caeruleum subsp. debile,1730.168093,52
Conospermum caeruleum subsp. marginatum,4165.27606,40
Conospermum caeruleum subsp. oblanceolatum,2717.921692,44
Conospermum caeruleum subsp. spathulatum,18387.88345,92
Conospermum canaliculatum,56956.68258,164
Conospermum canaliculatum subsp. apiculatum,811.9891939,44
Conospermum canaliculatum subsp. canaliculatum,9134.729307,104
Conospermum capitatum,54081.48533,144
Conospermum capitatum subsp. capitatum,24965.44247,44
Conospermum capitatum subsp. glabratum,59028.62888,152
Conospermum capitatum subsp. velutinum,1913.247389,48
Conospermum cinereum,50988.01277,80
Conospermum coerulescens,19.80842006,12
Conospermum coerulescens subsp. adpressum,608.5955259,32
Conospermum coerulescens subsp. coerulescens,1020.74353,20
Conospermum coerulescens subsp. dorrienii,2826.309442,112
Conospermum crassinervium,6522.532941,244
Conospermum croniniae,64670.65762,216
Conospermum densiflorum,3315.310405,80
Conospermum densiflorum subsp. densiflorum,9043.192133,84
Conospermum densiflorum subsp. unicephalatum,634.9283536,20
Conospermum distichum,293710.6622,588
Conospermum eatoniae,112665.5606,56
Conospermum ellipticum,121198.5012,184
Conospermum ephedroides,61312.87448,156
Conospermum ericifolium,14274.85346,108
Conospermum filifolium,19280.18515,28
Conospermum filifolium subsp. australe,31099.08557,108
Conospermum filifolium subsp. filifolium,98735.60837,120
Conospermum flexuosum,41591.53856,144
Conospermum flexuosum subsp. flexuosum,10770.74849,112
Conospermum flexuosum subsp. laevigatum,14227.48454,96
Conospermum floribundum,36709.04223,312
Conospermum galeatum,210.0073556,12
Conospermum glumaceum,16375.70884,176
Conospermum hookeri,10779.25054,124
Conospermum huegelii,4046.606996,192
Conospermum incurvum,32855.64276,324
Conospermum leianthum,14165.21592,64
Conospermum leianthum subsp. leianthum,151962.3099,160
Conospermum leianthum subsp. orientale,11227.1591,44
Conospermum longifolium,32176.0137,136
Conospermum longifolium subsp. angustifolium,11916.84124,172
Conospermum longifolium subsp. longifolium,14783.06522,232
Conospermum longifolium subsp. mediale,7461.858863,104
Conospermum microflorum,22556.34341,184
Conospermum mitchellii,87855.24516,344
Conospermum multispicatum,862.7274888,36
Conospermum nervosum,9535.077965,248
Conospermum paniculatum,6975.039584,72
Conospermum patens,164065.3554,928
Conospermum petiolare,22878.33181,152
Conospermum polycephalum,26922.58233,112
Conospermum quadripetalum,1317.49632,12
Conospermum scaposum,15574.80091,64
Conospermum sigmoideum,12569.92071,40
Conospermum spectabile,306.4076379,32
Conospermum sphacelatum,30794.5147,160
Conospermum stoechadis,300373.3558,844
Conospermum stoechadis subsp. sclerophyllum,65065.88326,308
Conospermum stoechadis subsp. stoechadis,283278.9756,684
Conospermum taxifolium,650628.868,1612
Conospermum tenuifolium,16213.51813,284
Conospermum teretifolium,96613.56783,432
Conospermum toddii,45510.60778,116
Conospermum triplinervium,119377.2638,444
Conospermum undulatum,785.680108,28
Conospermum unilaterale,6336.029616,296
Conospermum wycherleyi,6130.532529,108
Conospermum wycherleyi subsp. glabrum,2887.409601,132
Conospermum wycherleyi subsp. wycherleyi,6125.516284,88
Conostephium drummondii,115293.511,256
Conostephium hortiorum,424.327099,56
Conostephium laeve,8654.617098,92
Conostephium magnum,1809.925129,64
Conostephium marchantiorum,5064.14973,56
Conostephium minus,9621.428669,204
Conostephium papillosum,3230.389578,72
Conostephium pendulum,125921.5551,756
Conostephium preissii,232551.8891,460
Conostephium prolatum,153.9007278,16
Conostephium roei,166351.2273,80
Conostephium sp. Cascades (R.Bruhn 24/899 CAS),0,8
Conostephium uncinatum,3309.057262,36
Conostylis aculeata,172706.4371,540
Conostylis aculeata subsp. aculeata,194171.9808,856
Conostylis aculeata subsp. breviflora,11646.92435,216
Conostylis aculeata subsp. bromelioides,113530.3243,192
Conostylis aculeata subsp. cygnorum,6622.728024,152
Conostylis aculeata subsp. echinissima,610.3843519,32
Conostylis aculeata subsp. gracilis,7562.118593,60
Conostylis aculeata subsp. preissii,76105.52376,120
Conostylis aculeata subsp. rhipidion,7625.84968,100
Conostylis aculeata subsp. septentrionora,2577.215506,68
Conostylis aculeata subsp. spinuligera,4545.052806,40
Conostylis albescens,2364.206109,28
Conostylis androstemma,165515.7508,468
Conostylis angustifolia,2421.981235,112
Conostylis argentea,90393.58322,356
Conostylis aurea,69508.23125,832
Conostylis bealiana,154218.3206,296
Conostylis bracteata,1158.679692,44
Conostylis breviscapa,24378.49447,136
Conostylis candicans,136626.7258,204
Conostylis candicans subsp. calcicola,39255.53646,264
Conostylis candicans subsp. candicans,43410.36189,360
Conostylis candicans subsp. flavifolia,12439.78449,72
Conostylis candicans subsp. procumbens,4765.522564,52
Conostylis canteriata,8137.494004,316
Conostylis caricina,478.7000523,28
Conostylis caricina subsp. caricina,9822.871282,184
Conostylis caricina subsp. elachys,2325.879647,28
Conostylis crassinerva,NA,8
Conostylis crassinerva subsp. absens,13244.39782,308
Conostylis crassinerva subsp. crassinerva,2837.419695,124
Conostylis deplexa,6254.766617,64
Conostylis dielsii,NA,8
Conostylis dielsii subsp. dielsii,1278.928711,92
Conostylis dielsii subsp. teres,540.1399314,28
Conostylis drummondii,1442.857048,32
Conostylis festucacea,25.38985609,12
Conostylis festucacea subsp. festucacea,7095.057788,64
Conostylis festucacea subsp. filifolia,3776.560593,28
Conostylis hiemalis,13407.79892,156
Conostylis juncea,31273.51745,532
Conostylis latens,8204.030958,60
Conostylis laxiflora,12996.97182,144
Conostylis lepidospermoides,14454.67218,96
Conostylis micrantha,538.7746263,32
Conostylis misera,3207.960143,56
Conostylis neocymosa,15568.9296,120
Conostylis pauciflora,2522.327756,28
Conostylis pauciflora subsp. euryrhipis,1842.822326,56
Conostylis pauciflora subsp. pauciflora,2390.897227,36
Conostylis petrophiloides,93556.42336,416
Conostylis phathyrantha,8512.906832,108
Conostylis prolifera,111957.9175,564
Conostylis pusilla,66556.81492,552
Conostylis resinosa,27141.68738,220
Conostylis robusta,6878.173136,192
Conostylis rogeri,155.5043757,12
Conostylis seminuda,4792.329778,88
Conostylis seorsiflora,62662.02884,124
Conostylis seorsiflora subsp. longissima,0,8
Conostylis seorsiflora subsp. seorsiflora,47607.53216,352
Conostylis seorsiflora subsp. trichophylla,0,8
Conostylis serrulata,177820.4143,644
