species,eoo_aus,aoo_aus
Acacia arrecta,51731.31698,148
Acacia ascendens,1271.194531,16
Acacia asepala,3752.404614,28
Acacia ashbyae,67047.78942,152
Acacia asparagoides,15505.70286,100
Acacia aspera,1546334.878,272
Acacia aspera subsp. aspera,111323.9222,256
Acacia aspera subsp. parviceps,123148.1121,168
Acacia asperulacea,817306.949,444
Acacia assimilis,155237.1,152
Acacia assimilis subsp. assimilis,266451.2601,852
Acacia assimilis subsp. atroviridis,95485.62518,360
Acacia ataxiphylla subsp. ataxiphylla,5111.780098,24
Acacia ataxiphylla subsp. magna,4203.980897,52
Acacia atkinsiana,86770.40678,276
Acacia atopa,37795.40123,56
Acacia atrox,0.245116404,12
Acacia atrox subsp. atrox,14.96733346,16
Acacia atrox subsp. planitiicola,0.054963214,4
Acacia attenuata,11703.00385,192
Acacia aulacocarpa,2934326.184,1088
Acacia aulacocarpa x Acacia celsa,NA,4
Acacia aulacophylla,411988.927,252
Acacia auratiflora,3724.758601,40
Acacia aureocrinita,38809.77142,96
Acacia auricoma,5396.251829,112
Acacia auriculiformis,3954619.399,1396
Acacia auripila,0,8
Acacia auronitens,65780.69339,272
Acacia ausfeldii,70736.48273,308
Acacia awestoniana,204.117972,20
Acacia axillaris,14295.45954,160
Acacia ayersiana,3129486.503,1352
Acacia baeuerlenii,30401.57036,180
Acacia bakeri,70675.60665,184
Acacia balsamea,370321.0123,148
Acacia bancroftiorum,529646.0136,892
Acacia barakulensis,474.896048,32
Acacia barattensis,210.5216523,48
Acacia barbinervis,50.21626775,12
Acacia barbinervis subsp. barbinervis,7106.857317,156
Acacia barbinervis subsp. borealis,11710.5097,84
Acacia barrettiorum,356.1242438,20
Acacia barringtonensis,34908.32587,200
Acacia bartlei,11239.95355,64
Acacia basedowii,762807.9719,268
Acacia baueri,NA,4
Acacia baueri subsp. aspera,15895.85989,56
Acacia baueri subsp. baueri,132020.3845,236
Acacia baxteri,119268.1603,192
Acacia beadleana,63.17650228,36
Acacia beauverdiana,101547.9574,408
Acacia beckleri,228371.2178,540
Acacia beckleri subsp. beckleri,369076.297,140
Acacia beckleri subsp. megaspherica,39474.6311,48
Acacia benthamii,5201.995395,60
Acacia besleyi,102.8879049,16
Acacia betchei,444920.3047,256
Acacia bidentata,254449.2897,748
Acacia bifaria,2975.533838,64
Acacia biflora,58370.53304,328
Acacia binata,53984.24638,248
Acacia binervata,268972.6946,468
Acacia binervia,471567.2379,528
Acacia bivenosa,3024313.62,2208
Acacia bivenosa x Acacia sclerosperma subsp. sclerosperma,NA,8
Acacia blakei,2434310.256,384
Acacia blakei subsp. blakei,396787.2282,624
Acacia blakei subsp. diphylla,775168.4689,332
Acacia blakelyi,134756.5945,936
Acacia blaxellii,10262.77134,52
Acacia blayana,91.38338688,40
Acacia boormanii,445848.4071,432
Acacia boormanii var. Mount Typo (F.E.Bienvenu 11),2.748779248,16
Acacia botrydion,159.0964929,20
Acacia brachybotrya,1389162.351,1836
Acacia brachyclada,118930.8984,268
Acacia brachyphylla,NA,8
Acacia brachyphylla var. brachyphylla,19723.11953,48
Acacia brachyphylla var. recurvata,7378.514271,40
Acacia brachypoda,261.61464,12
Acacia brachystachya,4432410.679,1456
Acacia bracteolata,9867.571992,100
Acacia brassii,161248.0962,384
Acacia brockii,9467.625977,124
Acacia bromilowiana,24391.26457,60
Acacia browniana,4837661.844,308
Acacia browniana var. browniana,3637545.909,524
Acacia browniana var. endlicheri,124651.7498,80
Acacia browniana var. glaucescens,475.1675848,36
Acacia browniana var. intermedia,36234.09386,176
Acacia browniana var. obscura,21277.54023,208
Acacia brownii,770665.2788,1148
Acacia brumalis,198526.1258,336
Acacia brunioides,26921.34863,44
Acacia brunioides subsp. brunioides,8672.653234,212
Acacia brunioides subsp. granitica,15358.57682,84
Acacia bulgaensis,336.2356361,68
Acacia burbidgeae,229558.551,288
Acacia burdekensis,172356.8496,184
Acacia burkittii,3268105.742,2156
Acacia burrana,75289.10675,128
Acacia burrowii,557231.7674,752
Acacia burrowsiana,32866.53129,44
Acacia buxifolia,290872.6314,420
Acacia buxifolia subsp. buxifolia,385858.4622,1188
Acacia buxifolia subsp. pubiflora,274909.8025,336
Acacia bynoeana,78006.96167,296
Acacia caerulescens,1193.991459,72
Acacia caesaneura,532893.2578,676
Acacia caesariata,4369.356148,32
Acacia caesiella,259472.5625,360
Acacia calamifolia,760144.1312,1564
Acacia calantha,14537.57825,116
Acacia calcarata,34994.45069,60
Acacia calcicola,2246725.14,928
Acacia calligera,875385.0341,508
Acacia calyculata,241694.9277,1128
Acacia cambagei,2118182.102,1800
Acacia camptocarpa,7324.31818,12
Acacia camptoclada,451995.3158,484
Acacia campylophylla,15567.93452,80
Acacia cana,395644.513,292
Acacia cangaiensis,15626.11488,56
Acacia capillaris,5786.719294,36
Acacia cardiophylla,437769.5463,232
Acacia carens,1389.793649,24
Acacia carneorum,194921.0134,308
Acacia carnosula,11018.91018,64
Acacia caroleae,673795.1258,1012
Acacia cassicula,60800.36147,44
Acacia castanostegia,29016.35188,124
Acacia cataractae,104447.4962,184
Acacia catenulata,1486677.893,372
Acacia catenulata subsp. catenulata,1044507.238,60
Acacia catenulata subsp. occidentalis,19053.50342,152
Acacia cavealis,28254.44229,136
Acacia cedroides,1202.467561,84
Acacia celastrifolia,50457.73755,380
Acacia celsa,88245.00973,388
Acacia cerastes,7880.898619,32
Acacia chalkeri,1333.588726,32
Acacia chamaeleon,272105.8144,180
Acacia chapmanii subsp. australis,0,8
Acacia chapmanii subsp. chapmanii,2425.11708,28
Acacia chartacea,68360.84124,252
Acacia cheelii,292497.9448,396
Acacia chinchillensis,12703.51575,180
Acacia chippendalei,1739396.812,508
Acacia chisholmii,1560448.896,888
Acacia chrysella,319057.2288,444
Acacia chrysocephala,99163.14274,504
Acacia chrysochaeta,170920.1032,100
Acacia chrysopoda,11652.34866,100
Acacia chrysotricha,135.4394892,28
Acacia cincinnata,201867.3169,412
Acacia citrinoviridis,464806.3826,556
Acacia citriodora,1164385.005,448
Acacia clandullensis,8075.028049,68
Acacia claviseta,10870.23395,24
Acacia clelandii,849544.1051,192
Acacia clunies-rossiae,442.5305346,80
Acacia clydonophora,3874.279088,136
Acacia coatesii,0,8
Acacia cochlearis,627652.3996,836
Acacia cochlocarpa,9196.365449,16
Acacia cochlocarpa subsp. cochlocarpa,5966.666133,28
Acacia cochlocarpa subsp. velutinosa,1165.578974,28
Acacia cockertoniana,57373.61778,156
Acacia cognata,164549.8107,444
Acacia colei,2603845.615,448
Acacia colei var. colei,2604544.715,1404
Acacia colei var. ileocarpa,450527.3113,184
Acacia collegialis,21495.16527,72
Acacia colletioides,2653378.927,1456
Acacia comans,431162.2073,144
Acacia complanata,842173.8558,1044
Acacia concolorans,1412.523678,28
Acacia concurrens,773645.1691,956
Acacia conferta,994679.6057,1416
Acacia confluens,12115.24393,140
Acacia congesta,89651.49985,44
Acacia congesta subsp. cliftoniana,5466.108945,24
Acacia congesta subsp. congesta,32835.92882,232
Acacia congesta subsp. wonganensis,1545.368262,20
Acacia conjunctifolia,395924.3294,260
Acacia conniana,241486.2987,172
Acacia consanguinea,73772.9778,192
Acacia consobrina,99285.8348,132
Acacia conspersa,534275.8774,228
Acacia constablei,2745.460885,52
Acacia continua,1011369.723,1336
Acacia convallium,34943.84344,128
Acacia coolgardiensis,702051.6898,924
Acacia coriacea,2970936.99,108
Acacia coriacea subsp. coriacea,1038153.661,256
Acacia coriacea subsp. pendens,388940.8107,400
Acacia costata,22097.14274,76
Acacia costiniana,3839.953228,100
Acacia courtii,30.83886173,28
Acacia covenyi,9210.931585,40
Acacia cowaniana,1781.601093,16
Acacia cowleana,3727388.345,1340
Acacia cracentis,35198.30879,56
Acacia craspedocarpa,298807.5599,612
Acacia crassa,381827.7583,260
Acacia crassa subsp. crassa,768232.0162,872
Acacia crassa subsp. longicoma,160739.9695,520
Acacia crassicarpa,3285657.64,1164
Acacia crassistipula,182034.9395,100
Acacia crassiuscula,94841.28848,192
Acacia crassuloides,32615.18714,188
Acacia cremiflora,40267.09181,176
Acacia crenulata,16615.43644,56
Acacia cretacea,3327.991554,80
Acacia cretata,91154.19484,292
Acacia crispula,92060.06895,384
Acacia crombiei,51545.70747,172
Acacia cultriformis,2107779.572,476
Acacia cummingiana,6384.7666,68
Acacia cuneifolia,4643.862237,52
Acacia cupularis,3582107.761,1668
Acacia curranii,271650.6582,128
Acacia curryana,2875.71578,28
Acacia curvata,15695.67872,140
Acacia cuspidifolia,194837.6107,156
Acacia cuthbertsonii,917003.8464,104
Acacia cuthbertsonii subsp. cuthbertsonii,1564537.234,1156
Acacia cuthbertsonii subsp. linearis,262342.2825,136
Acacia cyclocarpa,1185.857054,20
Acacia cyclops,1989649.303,1084
Acacia cylindrica,34590.03785,88
Acacia cyperophylla,2045732.891,132
Acacia cyperophylla var. cyperophylla,2006848.109,580
Acacia cyperophylla var. omearana,5750.724713,20
Acacia dacrydioides,5738.457221,72
Acacia dallachiana,13111.6986,204
Acacia dangarensis,1.566072531,16
Acacia daphnifolia,94173.9745,404
Acacia daviesii,432.6185386,20
Acacia daviesioides,254366.7293,284
Acacia daweana,1513.230474,16
Acacia dawsonii,391986.2032,508
Acacia dealbata,3151512.172,1932
Acacia dealbata subsp. dealbata,2390093.319,1372
Acacia dealbata subsp. subalpina,180911.8306,284
Acacia deanei,1204734.42,516
Acacia deanei subsp. deanei,981145.8213,1184
Acacia deanei subsp. paucijuga,704714.0348,804
Acacia debilis,1013867.038,216
Acacia declinata,9265.250831,68
Acacia decora,1714389.064,2940
Acacia decurrens,3431745.304,1164
Acacia deficiens,139774.2146,372
Acacia deflexa,24593.45142,76
Acacia delibrata,231977.3636,220
Acacia delicatula,728889.1905,112
Acacia delphina,37759.36732,200
Acacia deltoidea,36304.38814,28
Acacia deltoidea subsp. ampla,6023.849973,24
Acacia deltoidea subsp. deltoidea,85981.2891,176
Acacia demissa,59430.41094,172
Acacia dempsteri,47320.00762,124
Acacia densiflora,127401.7029,216
Acacia denticulosa,290351.3423,44
Acacia dentifera,690885.6899,224
Acacia depressa,570.903606,24
Acacia dermatophylla,41101.46762,168
Acacia derwentiana,4784.836889,144
Acacia desertorum,65695.50398,20
Acacia desertorum var. desertorum,105974.7641,60
Acacia desertorum var. nudipes,23651.15241,48
Acacia desmondii,11440.48905,88
Acacia deuteroneura,7.037777202,16
Acacia diallaga,53.8970127,12
Acacia diaphana,4186.880352,48
Acacia diaphyllodinea,10313.80633,144
Acacia diastemata,13886.92865,36
Acacia dictyocarpa,218267.98,140
Acacia dictyoneura,5999.132404,88
Acacia dictyophleba,2724181.7,1532
Acacia didyma,4319.28741,56
Acacia dielsii,152829.4868,256
Acacia dietrichiana,458842.985,376
Acacia difficilis,1228314.603,1260
Acacia difformis,138417.5475,300
Acacia dilatata,24758.91334,156
Acacia dilloniorum,54.95057715,12
Acacia dimidiata,888529.9108,984
Acacia diminuta,5472.882652,16
Acacia dimorpha,118.2383211,16
Acacia disparrima,1317206.154,72
Acacia disparrima subsp. calidestris,330345.2636,532
Acacia disparrima subsp. disparrima,1079994.669,888
Acacia dissimilis,NA,8
Acacia dissona,0,8
Acacia dissona var. dissona,130119.3854,128
Acacia dissona var. indoloria,83507.76349,72
Acacia distans,170228.6473,180
Acacia disticha,1448.666365,68
Acacia divergens,80055.23333,680
Acacia dodonaeifolia,525111.1928,484
Acacia dolichophylla,204.7255179,56
Acacia donaldsonii,324002.3053,112
Acacia doratoxylon,1673062.421,1120
Acacia doreta,1120904.012,160
Acacia dorothea,35465.29687,200
Acacia dorsenna,942.7430291,28
Acacia drepanocarpa,1755568.845,128
Acacia drepanocarpa subsp. drepanocarpa,1604453.461,316
Acacia drepanocarpa subsp. latifolia,1060477.721,392
Acacia drepanophylla,18942.99663,76
Acacia drewiana,NA,4
Acacia drewiana subsp. drewiana,13173.16874,108
Acacia drewiana subsp. minor,22154.65388,48
Acacia drummondii,1070688.318,68
Acacia drummondii subsp. affinis,23065.77616,88
Acacia drummondii subsp. candolleana,81402.91867,192
Acacia drummondii subsp. drummondii,54078.03092,336
Acacia drummondii subsp. elegans,590346.3926,412
Acacia dunnii,572244.0678,456
Acacia dura,1801.555075,28
Acacia durabilis,5269.6327,68
Acacia duriuscula,262890.0295,200
Acacia echinula,83935.29736,416
Acacia echinuliflora,12569.67993,128
Acacia effusa,38553.4244,32
Acacia effusifolia,385133.7722,784
Acacia elachantha,3727444.685,1472
Acacia elata,1808083.955,332
Acacia elongata,448642.3637,1008
Acacia empelioclada,90388.00114,88
Acacia enervia,NA,8
Acacia enervia subsp. enervia,90104.94264,220
Acacia enervia subsp. explicata,130950.06,224
Acacia ensifolia,189874.8254,320
Acacia enterocarpa,68871.40806,312
Acacia epacantha,1971.531892,40
Acacia epedunculata,372.6773385,12
Acacia ephedroides,65546.0118,184
Acacia equisetifolia,0.183265358,8
Acacia eremaea,151756.9952,244
Acacia eremophila,339820.9699,96
Acacia eremophila var. eremophila,299459.9953,228
Acacia eremophila var. variabilis,253738.0971,56
Acacia eremophiloides,16.86750424,36
Acacia ericifolia,144787.9644,332
Acacia ericksoniae,76762.23579,236
Acacia erinacea,682882.9515,1868
Acacia erioclada,56545.01983,44
Acacia eriopoda,680429.7097,624
Acacia errabunda,26315.00621,44
Acacia estrophiolata,1785219.212,1056
Acacia euthycarpa,1101802.477,1648
Acacia euthycarpa subsp. euthycarpa,266678.4721,652
Acacia euthycarpa subsp. oblanceolata,118026.5923,120
Acacia euthyphylla,6555.641378,68
Acacia evenulosa,53815.16621,192
Acacia everistii,285068.6512,244
Acacia excelsa,1710081.707,352
Acacia excelsa subsp. angusta,771751.0451,304
Acacia excelsa subsp. excelsa,1363061.334,776
Acacia excentrica,96894.14593,108
Acacia exigua,12103.46047,128
Acacia exocarpoides,272813.5646,312
Acacia extensa,1493690.531,892
Acacia exudans,25545.02439,68
Acacia fagonioides,13644.36857,100
Acacia falcata,1740454.601,1208
Acacia falciformis,1389345.181,1844
Acacia farinosa,262519.1282,748
Acacia fasciculifera,457008.3651,432
Acacia faucium,60244.52351,48
Acacia fauntleroyi,318949.3482,136
Acacia fecunda,2267.555725,24
Acacia ferocior,18352.42258,164
Acacia filamentosa,91292.39544,68
Acacia filicifolia,186099.1401,1136
Acacia filifolia,883049.0003,96
Acacia filipes,2379.258469,36
Acacia fimbriata,248903.6883,76
Acacia flabellifolia,9763.782044,48
Acacia flagelliformis,9535.91553,104
Acacia flavescens,702622.818,1184
Acacia flavipila,601411.6017,20
Acacia flavipila var. flavipila,75451.0872,80
Acacia flavipila var. ovalis,22117.54746,104
Acacia fleckeri,21520.62535,160
Acacia flexifolia,781744.0983,592
Acacia flocktoniae,5260.096209,64
Acacia floribunda,3723256.569,1492
Acacia floydii,8557.464991,76
Acacia fodinalis,71303.47643,84
Acacia formidabilis,26495.13135,40
Acacia forrestiana,690.495186,28
Acacia forsythii,248.3483358,24
Acacia fragilis,1123872.107,460
Acacia fraternalis,37573.84629,36
Acacia frigescens,13687.3837,132
Acacia froggattii,136694.0884,212
Acacia fulva,7040.699146,64
Acacia fuscaneura,576795.3497,416
Acacia galeata,20932.59194,136
Acacia galioides,1502158.674,1680
Acacia gardneri,72145.95636,76
Acacia gelasina,10052.17283,40
Acacia gemina,11400.2756,116
Acacia genistifolia,759165.7756,1996
Acacia georgensis,535.8172202,72
Acacia georginae,1325571.239,1336
Acacia gibbosa,68343.32585,208
Acacia gibsonii,0,4
Acacia gilbertii,50256.72959,156
Acacia gilesiana,720942.7961,232
Acacia gillii,8157.307647,336
Acacia gittinsii,78021.93464,220
Acacia gladiiformis,626613.6447,504
Acacia glandulicarpa,56677.59697,176
Acacia glaucissima,18221.94298,72
Acacia glaucocaesia,76478.64386,80
Acacia glaucocarpa,751400.1441,652
Acacia glaucoptera,2509233.371,672
